"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1040.4781"
0,2125.675,1803.1315,2467.67,";;16;28;10;15;29;8;1*2;3;5;12;7*25;18;6;13;11;19;4;30*20;9;22;17;31;21;14*24;23;27;26","5",""
1,1977.2876,1677.0128,2272.529,";;12;7;22;17;13;24;31*26;3;2;18*28;4;25;10;15;19;11;6*5;20;8;23;29;27;14;30*9;1;21;16","5",""
2,1935.585,1677.0128,2279.576,";;12;7;22;17;13;24;9*26;3;2;18*28;4;25;10;15;30;11;6*5;20;8;23;29;27;14;19*31;1;21;16","5",""
3,1855.1093,1657.488,2199.5234,";;24;23;22;4;11;14;16;1;12*2;18;28;3*25;10;15;30;7;6;5;19*13;31;21;8;27;29;20*26;17;9","5",""
4,1826.3461,1554.4646,2236.2744,";;24;23;22;4;11;14;16;1;12;30*8;5;10;3;7;29*26;21;17;31;19;13;6*28;2;15;27;20;25*18;9","5",""
5,1766.5149,1554.4646,2245.6567,";;24;23;22;4;11;14;16;1;12;30*8;5;10;3;7;29*26;21;17;31;19;13;6*28;2;15;27;20;25*18;9","5",""
6,1689.4614,1545.3241,2076.2783,";;17;23;22;4;11;14;16;1;12*2;18;28;3*25;10;15;30;7;6;5;19*13;31;21;8;27;26;9*29;20;24","5",""
7,1641.4789,1484.7754,2030.1016,";;24;23;22;4;11;14;16;1;12;30*8;5;10;3;7;29*26;21;17;31;19;13;6*28;2;15;25;20;27*18;9","5",""
8,1636.7607,1484.7754,2038.8507,";;24;23;22;4;11;14;16;1;12;30*8;5;10;3;7;29*26;21;17;31;19;13;6*28;2;15;25;20;27*18;9","5",""
9,1588.8107,1427.1014,1905.7996,";;7;23;22;4;11;14;16;1*3;2;18;12;10*8;9;29;26;21;17*31;19;13;6;15;5;25*28;30;27;20;24","5",""
10,1542.1812,1391.6198,1776.7749,";;7;23;22;4;11;14;16;1;12*20;18;28;3*25;10;15;26;21;17*31;19;13;6;29;5;9;24;30;27*2;8","5",""
11,1521.9359,1390.0306,1895.5232,";;24;23;22;4;11;14;16;1;3*2;18;12;10;8;9*29;26;21;17;31;19*13;6;28;5;25;15*20;27;7;30","5",""
12,1462.4186,1363.2822,1684.9163,";;7;23;22;4;11;14;16;1*3;2;8;28;9*25;10;29;26;21*17;31;19;13;6;15;5*18;12;30;27;20;24","5",""
13,1462.6538,1307.3794,1710.4114,";;7;23;22;4;11;14;16;1*3;12;18;28;10*8;9;29;26;21;17*31;19;13;6;15;5;25*2;30;27;20;24","5",""
14,1430.9408,1307.3794,1727.6366,";;7;23;22;4;11;14;16;1*3;2;18;28;10*8;9;29;26;21;17*31;19;13;6;15;5;25*12;30;27;20;24","5",""
15,1382.3722,1256.6776,1656.5698,";;7;23;2;4;11;14;16;1*3;22;8;28;9;25*10;29;26;21;17;31;19*13;6;18;5;15;12;30*20;27;24","5",""
16,1331.8276,1241.3866,1670.78,";;7;23;2;4;11;14;16;1*3;22;8;28;9;25*10;29;26;21;17;31;19*13;6;12;5;15;18;30*20;27;24","5",""
17,1332.1946,1241.3866,1686.931,";;7;23;2;4;11;14;16;1*3;22;8;28;9;25*10;29;26;21;17;31;19*13;6;12;5;15;18;30*20;27;24","5",""
18,1290.7985,1185.0588,1504.3606,";;7;23;2;4;11;14;16;1*3;28;8;22;9;25*10;29;26;21;17;31;19*13;6;12;5;15;18;30*20;27;24","5",""
