"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 952.7263"
0,2131.185,1852.9912,2421.1777,";;16;26;24;25;21;12*22;11;1;8;18;4;30;10;14;23;19*29;9;15;20;5;6;13*31;3;27;28;2;7*17","5",""
1,2023.4303,1754.9113,2561.3704,";;17;21;23;3;13;2;9;30*26;4;10;29;28;11*16;6;14;15;18;22;7*20;24;31;1;12;19;5*25;8;27","5",""
2,1943.1997,1626.3625,2388.6492,";;2;8;28;12;10;22;15*29;16;6;17;19;3;4*25;5;11;9;1;13*20;26;7;21;27;31*18;23;24;14;30","5",""
3,1868.2766,1606.3652,2144.4668,";;9;8;28;12;10;22;15*29;16;6;19;17;3;4*25;5;11;2;1;27;20*26;7;13;21;18;31*23;24;14;30","5",""
4,1784.0024,1564.6213,2189.3633,";;9;8;28;12;10;22;15*29;16;6;19;17;3;4;23*5;11;2;1;31;20*26;7;13;21;27;18*25;24;14;30","5",""
5,1736.9844,1564.6213,2190.3508,";;9;8;28;12;10;22;15*29;16;25;19;17*3;4;6;5;11;2;1;31*20;26;7;13;21;27*18;23;24;14;30","5",""
6,1655.0012,1514.9219,2117.711,";;9;8;28;12;10;22;15*29;16;21;19;17;3;4*25;5;11;2;1;31*20;14;6;13;7;27*18;23;24;26;30","5",""
7,1593.2892,1473.2927,1819.5076,";;9;8;28;12;10;22;15*29;16;6;19;17;3;4*25;5;11;2;1;27;20*26;7;13;21;31;18*23;24;14;30","5",""
8,1552.4469,1421.3147,1743.4873,";;9;8;28;4;10;22;15;29*16;21;17;19;3;12*20;5;11;2;1;31*25;14;6;13;27;18;23*7;24;26;30","5",""
9,1531.173,1421.3147,1791.115,";;9;8;28;4;10;22;15;29*16;21;17;19;3;12*20;5;11;2;18*31;25;14;6;13;27;1;23;7*24;26;30","5",""
10,1516.1825,1370.0518,1810.1139,";;9;8;28;4;10;22;15;29*16;21;19;17;3;1;25*5;11;2;23;31;7;14;6*13;27;18;12;20;24*26;30","5",""
11,1489.4243,1342.0417,1778.3662,";;9;8;28;4;10;22;15;29*16;21;19;17;3;1;25*5;11;2;23;27;20;26*7;13;6;31;18;12;24*14;30","5",""
12,1421.3774,1301.4487,1731.3151,";;9;8;28;4;10;22;15;29*16;21;19;17;3;1;25*5;11;2;23;31;7;14;24*6;13;27;18;20;12*26;30","5",""
13,1408.8889,1301.4487,1896.6367,";;9;8;28;4;10;22;15;29*16;21;19;17;3;1;25*5;11;2;23;31;7;14;24*6;13;27;18;20;12*26;30","5",""
14,1364.515,1286.1842,1596.5695,";;9;8;28;4;10;22;15;29*16;21;19;17;3;6*25;5;11;2;23;31;7*14;24;1;13;27;18;20*12;26;30","5",""
15,1343.2736,1281.9104,1575.3335,";;9;8;28;4;10;22;15;31*16;21;19;17;3;6*25;5;11;2;23;29*7;14;1;13;24;27;18*20;12;26;30","5",""
16,1312.8007,1266.6368,1787.0532,";;9;8;28;4;15;22;10;29*16;21;31;17;3;6*25;5;11;2;23;19;7*14;1;13;24;27;18;20*12;26;30","5",""
17,1306.3063,1266.6368,1492.9298,";;9;8;28;4;15;22;10;29*16;21;19;17;3;6*25;5;11;2;23;31;7*14;1;13;24;27;18;20*12;26;30","5",""
18,1296.6184,1266.6368,1601.9275,";;9;8;28;4;15;22;10;29*16;21;19;17;3;6*25;5;11;2;23;31;7*14;1;13;24;27;18;20*12;26;30","5",""
19,1295.453,1266.6368,1617.8151,";;9;8;28;4;15;22;10;29*16;21;19;17;3;6*25;5;11;2;23;31;7*14;1;13;24;27;18;20*12;26;30","5",""
20,1309.4014,1261.5095,1700.9401,";;9;8;28;4;15;22;10;29;1*21;19;17;3;6;25;5*11;2;23;31;7;14;16*13;24;27;18;20;12*26;30","5",""
21,1279.1516,1261.5095,1533.2301,";;9;8;28;4;15;22;10;29;1*21;19;17;3;6;25;5*11;2;23;31;7;14;16*13;24;27;18;20;12*26;30","5",""
22,1277.9734,1261.5095,1561.8193,";;9;8;28;4;15;22;10;29;1*21;19;17;3;6;25;5*11;2;23;31;7;14;16*13;24;27;18;20;12*26;30","5",""
23,1275.8434,1260.9152,1600.1199,";;9;8;28;4;15;22;10;14;1*21;19;17;3;6;25;5*11;2;23;31;7;24;16*13;29;27;18;20;12*26;30","5",""
24,1282.9672,1174.5443,1547.7278,";;9;8;28;4;15;22;10;29;1*21;19;17;3;6;25;18*11;2;23;31;7;14;16*13;24;27;5;20;12*26;30","5",""
25,1267.575,1174.5443,1655.2672,";;9;8;28;4;15;22;10;29;1*21;19;17;3;6;25;18*11;2;23;31;7;14;16*13;24;27;5;20;12*26;30","5",""
26,1238.7378,1174.5443,1557.4752,";;9;8;28;4;15;22;10;29;1*21;19;17;3;6;25;18*11;2;23;31;7;14;16*13;24;27;5;20;12*26;30","5",""
27,1190.5543,1174.5443,1384.8519,";;9;8;28;4;15;22;10;29;1*21;19;17;3;6;25;18*11;2;23;31;7;14;16*13;24;27;5;20;12*26;30","5",""
28,1194.687,1149.1003,1550.2183,";;9;8;11;4;15;22;10;29;1;21;19*12;3;6;25;18*28;2;23;31;7;14*16;13;24;27;5;20*17;26;30","5",""
29,1189.6993,1149.1003,1617.8533,";;9;8;11;4;15;22;10;29;1;21;19*17;3;6;25;18*28;2;23;31;7;14*16;13;24;27;5;20*12;26;30","5",""
30,1178.333,1145.9321,1482.6956,";;22;8;11;4;15;9;10;29;1;31;19*17;3;6;25;18*28;2;23;21;7;14*16;13;24;27;5;20*12;26;30","5",""
31,1170.9929,1141.58,1436.9178,";;9;8;11;4;15;22;10;29;1;21;19*17;3;6;25;18*28;2;23;31;7;13*16;14;24;27;5;20*12;26;30","5",""
32,1172.1935,1135.8303,1508.1838,";;9;8;11;4;15;22;10;29;1;31;19*17;3;6;25;18*28;2;23;21;7;13*20;14;24;27;5;16*12;26;30","5",""
33,1165.39,1135.8303,1610.8555,";;9;8;11;4;15;22;10;29;1;31;19*17;3;6;25;18*28;2;23;21;7;13*16;14;24;27;5;20*12;26;30","5",""
34,1180.0978,1083.3228,1435.3441,";;22;8;11;4;15;25;10;29;1*31;19;17;3;6;9;18*28;2;23;21;7;13*16;14;24;27;5;20*12;26;30","5",""
35,1154.6719,1083.3228,1495.6411,";;22;8;11;4;15;25;10;29;1*31;19;17;3;6;9;18*28;2;23;21;7;13*16;14;24;27;5;20*12;26;30","5",""
36,1140.2963,1083.3228,1615.8513,";;22;8;11;4;15;25;10;29;1*31;19;17;3;6;9;18*28;2;23;21;7;13*16;14;24;27;5;20*12;26;30","5",""
37,1112.8241,1070.882,1518.4714,";;22;8;11;4;15;25;10;29;1*24;19;17;3;6;9;18;28*2;23;21;7;16;13*14;31;27;5;20;12*26;30","5",""
38,1110.4175,1070.882,1421.8477,";;22;8;11;4;15;25;10;29;1*31;19;17;3;6;9;18*28;2;23;21;7;16*13;14;24;27;5;20*12;26;30","5",""
39,1104.7589,1049.7925,1501.561,";;22;8;11;4;15;25;10;29;1*31;19;17;3;6;9;18*28;2;23;21;13;16*7;14;24;27;5;20;12*26;30","5",""
40,1098.7059,1046.0955,1341.595,";;22;8;4;11;15;25;10;29;1*31;19;17;3;6;9;2*28;23;18;21;13;16*7;14;24;27;5;20;12*26;30","5",""
41,1089.0043,1046.0955,1426.241,";;22;8;4;11;15;25;10;29;1*31;19;17;3;6;9;18*28;2;23;21;13;16*7;14;24;27;5;20;12*26;30","5",""
42,1069.5504,1046.0955,1459.201,";;22;8;4;13;15;25;10*29;11;31;19;17;3;6;9*18;28;2;23;21;1;16*7;14;24;27;5;20;12*26;30","5",""
43,1069.1901,1046.0955,1356.3716,";;22;8;4;11;15;25;10;29;1*31;19;17;3;6;9;18*28;2;23;21;13;16*7;14;24;27;5;20;12*26;30","5",""
44,1060.3065,1043.7195,1287.3721,";;22;8;4;11;15;25;10;29*13;31;19;17;3;6;9*18;28;2;23;21;1;16*7;14;24;27;5;20;12*26;30","5",""
45,1059.8812,1043.7195,1467.4706,";;22;8;4;11;15;25;10;29*13;31;19;17;3;6;9*18;28;2;23;21;1;16*7;14;24;27;5;20;12*26;30","5",""
46,1066.5172,1043.7195,1393.9137,";;22;8;4;11;15;25;10;29*13;31;19;17;3;6;9*18;28;2;23;21;1;16*7;14;24;27;5;20;12*26;30","5",""
47,1062.8833,1043.7195,1314.2725,";;22;8;4;11;15;25;10;29*13;31;19;17;3;6;9*18;28;2;23;21;1;16*7;14;24;27;5;20;12*26;30","5",""
48,1071.556,1040.7827,1454.1276,";;22;8;4;11;15;25;10;29*13;31;19;17;23;6;9;18*28;2;3;21;1;16*7;14;24;27;5;20;12*26;30","5",""
49,1075.7277,1040.7827,1389.3673,";;22;8;4;11;15;25;10;29*13;31;19;17;23;6;9;18*28;2;3;21;1;16*7;14;24;27;5;20;12*26;30","5",""
50,1079.5417,1040.7827,1443.9597,";;22;8;4;11;15;25;10;29*13;31;19;17;23;6;9;18*28;2;3;21;1;16*7;14;24;27;5;20;12*26;30","5",""
51,1068.8436,1040.7827,1425.7401,";;22;8;4;11;15;25;10;29*13;31;19;17;23;6;9;18*28;2;3;21;1;16*7;14;24;27;5;20;12*26;30","5",""
52,1063.1077,1040.7827,1448.4348,";;22;8;4;11;15;25;10;29*13;31;19;17;23;6;9;18*28;2;3;21;1;16*7;14;24;27;5;20;12*26;30","5",""
53,1068.8534,1040.7827,1380.8749,";;22;8;4;11;15;25;10;29*13;31;19;17;23;6;9;18*28;2;3;21;1;16*7;14;24;27;5;20;12*26;30","5",""
