"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1001.8275"
0,2116.137,1624.4851,2458.374,";;29;25;5;6;3;15*20;9;8;22;13;4*28;11;30;7;12;24;19;16*2;23;21;18;26;1;27;10*14;31;17","5",""
1,1956.6697,1567.8461,2347.8152,";;29;25;5;6;3;15*20;13;8;2;9;4*28;11;10;19;7;23;18;24;22*16;12;21;26;1;27;30;14*31;17","5",""
2,1853.3811,1567.8461,2119.9119,";;8;25;5;6;3;15*20;13;29;26;9;4*28;11;10;19;7;23;18;24*2;16;12;21;22;1;27;30;14*31;17","5",""
3,1797.5212,1554.6355,2296.1956,";;15;11;22;9;4;1;26;7;21*25;10;8;28;6*13;19;12;23;2;3;18*29;17;5;16;30;31*14;27;20;24","5",""
4,1727.2192,1542.8055,2085.8416,";;29;25;5;6;21;15;20*13;8;22;9;4;28;11*10;19;7;23;18;2;24*16;12;31;26;1;27;30;14*3;17","5",""
5,1659.6879,1449.1646,1971.5151,";;29;25;5;6;21;15;20*13;8;22;9;4;28;11*10;19;7;23;18;24;2;3*12;16;1;31;17;27;30;26*14","5",""
6,1620.34,1449.1646,2003.3604,";;29;25;5;6;21;15;20*13;8;22;9;4;28;11*10;19;7;23;18;24;2;3*12;16;1;31;17;27;30;26*14","5",""
7,1575.8612,1419.7843,1927.5472,";;29;25;5;6;21;15;20*13;8;22;9;4;28;11*10;19;7;23;18;24;2;3*12;16;1;31;17;27;14*26;30","5",""
8,1527.353,1419.7843,1884.5858,";;29;25;5;6;21;15;20*13;8;22;9;4;28;11*10;19;7;23;18;24;2;3*12;16;1;31;17;27;14*26;30","5",""
9,1480.7046,1406.0278,1720.0735,";;29;20;5;6;3;15*25;13;8;22;9;4*28;11;10;19;7;24;18;23*2;16;12;21;1;31;17;27*14;26;30","5",""
10,1452.6251,1351.5898,1734.75,";;29;25;5;9;21;15;20*13;8;22;6;4;28;11*10;19;7;24;18;23;2;3*12;16;1;31;17;27;14*26;30","5",""
11,1468.879,1351.5898,1864.722,";;29;25;5;6;21;15;20*13;8;22;9;4;28;11*10;19;7;24;18;23;2;3*12;16;1;31;26;27;14*17;30","5",""
12,1423.1501,1303.9303,1819.2981,";;29;25;5;6;11;15;20*13;8;22;9;4;28;18*10;19;7;23;3;2;24;21*17;16;1;31;12;27;14*26;30","5",""
13,1419.5597,1303.9303,1745.3934,";;29;25;5;6;11;10*20;13;8;22;9;4*28;18;15;19;7;23;3;2*24;21;12;16;1;31;17;27*14;26;30","5",""
14,1389.0121,1303.9303,1666.5989,";;29;25;5;6;11;15;20*13;8;22;9;4;28;18*10;19;7;23;3;2;24;21*12;16;1;31;17;27;14*26;30","5",""
15,1371.7906,1228.368,1637.7826,";;29;25;5;18;11;15*20;13;8;22;9;4*28;6;10;19;7;23;3;2*24;16;12;1;21;17;31;27*14;26;30","5",""
16,1361.8187,1228.368,1717.6631,";;29;25;5;6;11;15;20*13;8;22;9;4;28;18*10;19;7;23;3;2;24*16;12;1;21;17;31;27;14*26;30","5",""
17,1306.4772,1228.368,1672.1154,";;29;25;5;6;11;15;20*13;8;22;9;4;28;18*10;19;7;23;3;2;24*16;12;1;21;17;31;27;14*26;30","5",""
18,1276.6698,1200.8843,1554.07,";;10;25;5;6;11;15*20;13;8;22;9;4*28;18;29;19;7;23;3*2;24;16;12;1;21;17*31;27;14;26;30","5",""
19,1247.4719,1177.027,1611.6583,";;20;25;5;6;9;15;29*13;8;22;11;4;28*18;10;19;7;23;3;2;24*16;12;1;21;17;31;27;14*26;30","5",""
20,1255.0835,1177.027,1627.9846,";;20;25;5;6;9;15;29*13;8;22;11;4;28*18;10;19;7;23;3;2;24*16;12;1;21;17;31;27;14*26;30","5",""
21,1233.3862,1167.9153,1649.986,";;10;25;5;6;9;15;29*13;8;22;11;4;28*18;20;19;7;23;3;2*24;16;12;1;21;17;31;27*14;26;30","5",""
22,1202.8256,1164.7876,1491.8097,";;10;25;5;6;9;15;29*13;8;22;11;4;28*18;20;19;7;23;3;2*24;16;12;1;21;31;17;27*14;26;30","5",""
23,1222.1373,1160.013,1706.652,";;20;25;5;6;9;15;10*13;8;22;11;4;28*18;29;19;7;23;3;2;24*16;12;1;21;17;31;27;14*26;30","5",""
24,1209.1257,1160.013,1580.6364,";;20;25;5;6;9;15;10*13;8;22;11;21;28*18;29;19;7;23;3;2;24*16;12;1;4;17;31;27;14*26;30","5",""
25,1183.8383,1159.508,1605.7145,";;10;25;5;6;9;15;29*13;8;22;11;4;28*18;20;19;7;2;3;23*24;16;12;1;21;31;17;27*14;26;30","5",""
26,1191.5354,1154.7333,1544.7039,";;20;25;5;6;9;15;10*13;18;22;11;4;28*8;29;19;7;2;3;23;24*16;12;1;21;17;31;27;14*26;30","5",""
27,1168.3433,1151.6056,1328.1306,";;20;25;5;6;9;15;10*13;8;22;11;4;28*18;29;19;7;2;3;23;24*16;12;1;21;31;17;27;14*26;30","5",""
28,1190.0027,1150.8221,1524.8334,";;20;25;5;6;9;15;10*13;18;22;11;4;28*8;29;19;7;2;3;23;24*16;12;1;21;17;31;27;14*26;30","5",""
29,1166.4315,1147.6946,1536.0925,";;20;25;5;6;9;15;10*13;18;22;11;4;28*8;29;19;7;31;3;23;24*16;17;1;21;2;12;27;14*26;30","5",""
30,1183.7192,1147.6946,1607.6145,";;20;25;5;6;9;15;10*13;18;22;11;4;28*8;29;19;7;2;3;23;24*16;12;1;21;31;17;27;14*26;30","5",""
31,1176.0735,1147.6946,1545.8212,";;20;25;5;6;9;15;10*13;18;22;11;4;28*8;29;19;7;2;3;23;24*16;12;1;21;31;17;27;14*26;30","5",""
32,1181.0044,1128.7444,1592.748,";;20;25;5;22;9;15*10;13;18;6;11;4;28*8;29;19;7;2;3;23;24*16;12;1;21;31;17;27;14*26;30","5",""
33,1170.6348,1128.7444,1449.1406,";;20;25;5;22;9;15*10;13;18;6;11;4;28*8;29;19;7;2;3;23;24*16;12;1;21;31;17;27;14*26;30","5",""
34,1154.2363,1069.717,1403.9634,";;20;25;5;29;9;15*10;13;18;22;11;4*28;8;6;19;7;2;3;23*24;16;12;1;21;31;17;27*14;26;30","5",""
35,1150.369,1069.717,1510.4016,";;20;25;5;29;9;15*10;13;18;22;11;4*28;8;6;19;7;2;3;23*24;16;12;1;21;31;17;27*14;26;30","5",""
36,1139.2521,1069.717,1526.6538,";;20;25;5;29;9;15*10;13;18;22;11;4*28;8;6;19;7;2;3;23*24;16;12;1;21;31;17;27*14;26;30","5",""
37,1117.6903,1033.7565,1511.3485,";;20;25;5;29;9;15;4*7;18;22;11;10;28*8;6;19;13;2;3;23;24*16;12;1;21;31;17;27;14*26;30","5",""
