"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1147.7466"
0,2132.1013,1777.8741,2460.3044,";;5;27;26;4;7;10;12*17;13;21;28;18*14;8;3;22;6;23;15;24*16;20;19;31;30;11;9;2*25;29;1","5",""
1,2015.3081,1777.1443,2377.5574,";;20;25;15;3;14;22*17;19;28;2;10;18*24;7;5;11;23;4;9;21;1;30;26*12;16;13;27;29;8*31;6","5",""
2,1914.1145,1733.6868,2323.5173,";;5;24;11;18;4;20;30;1*17;16;13;15;9;7;21*10;6;22;8;2;26*12;19;31;23;3;28;27;25*29;14","5",""
3,1850.2954,1623.9543,2260.396,";;20;21;14;2;17;23;15*28;8;11;16;6;13*29;9;7;19;31;1;26;12;30*3;22;18;10;25*5;4;27;24","5",""
4,1797.6539,1621.9557,2117.6404,";;4;27;26;2;7;1;12;17*13;9;3;6;14;30;21;22*18;23;15;24;16;20;19;31*28;11;8;29;5*25;10","5",""
5,1755.5424,1605.0913,2042.124,";;5;27;26;16;7;1;15*28;8;11;17;6;13*29;9;20;19;31;21;14;12;30*3;22;18;10;25*2;4;23;24","5",""
6,1719.6433,1534.493,2037.3917,";;5;27;26;16;7;1;15*28;8;11;22;6;13;29*9;20;19;31;21;14;12;30*3;17;23;4;18;2*25;10;24","5",""
7,1696.0411,1389.6819,2155.228,";;20;27;26;16;7;1;15*28;8;11;17;6;13*29;9;2;19;31;21;14;12;30*3;18;22;10;25*5;4;23;24","5",""
8,1631.6561,1389.6819,1952.4584,";;20;27;26;16;7;1;15*28;8;11;17;6;13*29;9;2;19;31;21;18;12;30*3;14;22;10;25*5;4;23;24","5",""
9,1598.0643,1389.6819,2063.8008,";;20;27;26;16;7;1;15*28;8;11;17;6;13*29;9;2;19;31;21;14;12;30*3;18;22;10;25*5;4;23;24","5",""
10,1590.9509,1389.6819,1905.405,";;20;27;26;16;7;1;15*28;8;11;17;6;13*29;9;2;19;31;21;14;12;30*3;18;22;10;25*5;4;23;24","5",""
11,1529.6602,1389.6819,1940.6412,";;20;27;26;16;7;1;15*28;8;11;17;6;13*29;9;2;19;31;21;14;12;30*3;18;22;10;25*5;4;23;24","5",""
12,1444.5859,1355.7346,1849.7789,";;20;27;26;16;7;1;15*28;8;11;17;23;13*29;9;2;19;31;21;14;12;30*3;18;22;10;25*5;4;6;24","5",""
13,1394.9386,1355.7346,1594.7035,";;20;27;26;16;7;1;15*28;8;11;17;23;13*29;9;2;19;31;21;14;12;30*3;18;22;10;25*5;4;6;24","5",""
14,1399.8622,1355.7346,1749.8207,";;20;27;26;16;7;1;15*28;8;11;17;23;13*29;9;2;19;31;21;14;12;30*6;18;22;10;25;5*4;3;24","5",""
15,1378.0802,1355.7346,1592.9291,";;20;27;26;16;7;1;15*28;8;11;17;23;13*29;9;2;19;31;21;14;12;30*3;18;22;10;25*5;4;6;24","5",""
16,1386.523,1347.5802,1785.692,";;20;27;26;16;7;1;15*28;8;11;17;23;13;22*9;2;19;31;21;14;12;30*3;18;29;10;25*5;4;6;24","5",""
17,1389.9556,1347.5802,1845.3723,";;20;27;26;16;7;1;15*28;8;11;17;23;13;22*9;2;19;31;21;14;12;30*3;18;29;10;25*5;4;6;24","5",""
18,1372.7198,1339.3909,1785.692,";;20;27;14;16;7;1;15;28*11;8;17;23;13;29;9*2;19;31;21;26;12;30*3;18;22;10;25*5;4;6;24","5",""
19,1367.798,1315.6587,1652.2655,";;20;27;26;16;7;1;15*28;8;11;17;23;13;22*9;4;19;31;21;14;12;30;3*18;29;10;25;5*2;6;24","5",""
20,1370.3665,1315.6587,1651.9768,";;20;27;26;16;7;1;15*28;8;11;17;23;13;22*9;4;19;31;21;14;12;30;3*18;29;10;25;5*2;6;24","5",""
21,1384.0596,1299.315,1764.2428,";;20;27;14;16;7;1;15;28*8;11;17;23;13;22;9;4;19*31;21;26;12;30;3*18;29;10;25;5*2;6;24","5",""
22,1375.1871,1298.9785,1646.3657,";;20;27;14;16;7;1;15;28*11;8;17;23;13;22;9;4;19*31;21;26;12;30;3*18;29;10;25;5*2;6;24","5",""
23,1351.8722,1298.9785,1708.6062,";;20;27;14;16;7;1;15;28*11;8;17;23;13;22;9;4;19*31;21;26;12;30;3*18;29;10;25;5*2;6;24","5",""
24,1326.0837,1298.9785,1710.5015,";;20;27;14;16;7;1;15;28*11;8;17;23;13;22;9;4;19*31;21;26;12;30;3*18;29;10;25;5*2;6;24","5",""
25,1317.8213,1276.7961,1583.6747,";;20;27;14;16;7;1;15;28*11;8;17;23;30;22;9;4;19;31;21*26;12;13;3;18*29;10;25;5;2;6*24","5",""
26,1318.893,1276.1008,1745.6748,";;20;27;14;16;7;1;15;28*11;3;17;23;13;22;9;4;19*31;21;26;12;30;8;18*29;10;25;5;2;6*24","5",""
27,1311.7499,1276.1008,1551.7705,";;20;27;14;16;7;1;15;28*11;3;17;23;13;22;9;4;19*31;21;26;12;30;8;18*29;10;25;5;2;6*24","5",""
28,1307.8917,1265.0853,1691.9429,";;20;27;14;16;7;1;15;28*11;8;17;23;30;22;9;4;19;31;21*26;12;13;6;18;29*10;25;5;2;3*24","5",""
29,1300.5844,1265.0348,1603.6318,";;20;27;14;7;16;1;15;28*11;8;17;23;30;22;9;4;19;31;21*26;12;13;6;18;29*10;25;5;2;3*24","5",""
30,1291.3169,1265.0348,1753.3333,";;20;27;14;7;16;1;15;28*11;8;17;23;30;22;9;4;19;31;21*26;12;13;6;18;29*10;25;5;2;3*24","5",""
31,1309.7084,1265.0348,1723.9081,";;20;27;14;7;16;1;15;28*11;8;17;23;30;22;9;4;19;31;21*26;12;13;6;18;29*10;25;5;2;3*24","5",""
32,1295.3035,1265.0348,1647.4337,";;20;27;14;7;16;1;15;28*11;8;17;23;30;22;9;4;19;31;21*26;12;13;6;18;29*10;25;5;2;3*24","5",""
33,1282.7872,1265.0348,1629.2739,";;20;27;14;7;16;1;15;28*11;8;17;23;30;22;9;4;19;31;21*26;12;13;6;18;29*10;25;5;2;3*24","5",""
34,1282.8381,1265.0348,1709.3107,";;20;27;14;7;16;1;15;28*11;8;17;23;30;22;9;4;19;31;21*26;12;13;6;18;29*10;25;5;2;3*24","5",""
35,1286.8529,1265.0348,1627.5875,";;20;27;31;7;16;1;15;28*11;8;17;23;30;22;9;4;19;14;21*26;12;13;6;18;29*10;25;5;2;3*24","5",""
36,1276.761,1265.0348,1537.0555,";;20;27;14;7;16;1;15;28*11;8;17;23;30;22;9;4;19;31;21*26;12;13;6;18;29*10;25;5;2;3*24","5",""
37,1283.9052,1257.3135,1707.2347,";;20;27;14;24;16;1;15;31;11*8;17;13;30;22;9;4;19*28;21;26;12;23;6;18*29;10;25;5;2*3;7","5",""
38,1304.5004,1256.5131,1802.798,";;20;27;14;7;16;12;15*28;11;8;17;23;30;22;9;4;19*31;21;26;1;13;6;18*29;10;25;5;2*3;24","5",""
39,1287.6173,1254.1311,1618.4915,";;20;27;14;24;16;1;15;28*11;8;17;13;30;22;9;4;19*31;21;26;12;23;6;18*29;10;25;5;2*3;7","5",""
40,1280.3973,1254.1311,1698.7128,";;20;27;14;24;16;1;15;28*11;8;17;13;30;22;9;4;19*31;21;26;12;2;6*18;29;10;25;5;23*3;7","5",""
41,1274.2434,1247.2971,1609.0961,";;20;27;14;24;16;12;15*28;11;8;17;13;30;22*9;4;19;31;21;26;1;23;6;18*29;10;25;5;2*3;7","5",""
42,1288.611,1246.5215,1593.9196,";;20;27;14;24;16;1;15;28*11;8;21;13;30;22;9;4;19;31*17;26;12;23;6;18*29;10;25;5;2*3;7","5",""
43,1284.2395,1239.6873,1626.5278,";;20;27;14;24;16;12;15*28;11;8;21;13;30;22;9;4;19*31;17;26;1;23;6;18*29;10;25;5;2*3;7","5",""
44,1287.521,1239.6873,1800.8015,";;20;27;14;24;16;12;15*28;11;8;21;13;30;22;9;4;19*31;17;26;1;23;6;18*29;10;25;5;2*3;7","5",""
45,1257.9481,1239.6873,1505.3901,";;20;27;14;24;16;12;15*28;11;8;21;13;30;22;9;4;19*31;17;26;1;23;6;18*29;10;25;5;2*3;7","5",""
46,1256.7605,1235.55,1729.6279,";;20;27;14;24;16;12;15*28;11;8;21;13;30;22;9;4;19*17;31;26;1;23;6;18*29;10;25;5;2*3;7","5",""
47,1258.7229,1235.55,1650.4431,";;20;27;14;24;16;12;15*28;11;8;21;13;30;22;9;4;19*17;31;26;1;23;6;18*29;10;25;5;2*3;7","5",""
48,1253.1733,1235.55,1559.2141,";;20;27;14;24;16;12;15*28;11;8;21;13;30;22;9;4;19*17;31;26;1;23;6;18*29;10;25;5;2*3;7","5",""
49,1277.5708,1234.6277,1603.1919,";;20;27;14;24;16;12;15*28;11;8;4;13;30;22;9;21;19*17;31;26;1;23;6;18*29;10;25;5;2*3;7","5",""
50,1245.782,1234.6277,1597.4658,";;20;27;14;24;16;12;15*28;11;8;4;13;30;22;9;21;19*17;31;26;1;23;6;18*29;10;25;5;2*3;7","5",""
51,1259.3624,1234.6277,1627.3479,";;20;27;14;24;16;12;15*28;11;8;4;13;30;22;9;21;19*17;31;26;1;23;6;18*29;10;25;5;2*3;7","5",""
52,1261.8829,1234.6277,1702.0474,";;20;27;14;24;16;12;15*28;11;8;4;13;30;22;9;21;19*17;31;26;1;23;6;18*29;10;25;5;2*3;7","5",""
53,1258.782,1234.6277,1494.3833,";;20;27;14;24;16;12;15*28;11;8;4;13;30;22;9;21;19*17;31;26;1;23;6;18*29;10;25;5;2*3;7","5",""
54,1245.4851,1185.6843,1543.5305,";;20;27;14;24;16;12;15*28;11;8;4;13;30;22;9;21;19*17;31;26;1;7;6;18*29;10;25;5;2*3;23","5",""
55,1268.3135,1185.6843,1719.7842,";;20;27;14;24;16;12;15*28;11;8;4;13;30;22;9;21;19*17;31;26;1;7;6;18*29;10;25;5;2*3;23","5",""
56,1244.5376,1185.6843,1657.8633,";;20;27;14;24;16;12;15*28;11;8;4;13;30;22;9;21;19*17;31;26;1;7;6;18*29;10;25;5;2*3;23","5",""
