"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 908.11694"
0,2107.3904,1789.4906,2465.642,";;6;25;5;10;3;7*12;9;18;19;27;17;20;30*16;28;22;23;2;14;4*11;29;24;31;13;1;26;15*8;21","5",""
1,1987.7035,1557.2693,2357.9272,";;29;24;9;22;28;2;7;21*19;16;1;6;4;3;17;13*8;18;23;31;26;14*5;12;11;25;10;15;27;30*20","5",""
2,1897.9014,1557.2693,2273.7793,";;2;24;9;22;28;29;7;21*19;16;1;6;4;3;17;13*8;18;23;31;26;14*5;12;11;25;10;15;27;30*20","5",""
3,1809.4236,1557.2693,2152.1138,";;29;24;9;22;28;2;7;21*19;16;1;6;4;3;17;13*8;18;23;31;26;14*5;12;11;25;10;15;27;30*20","5",""
4,1715.3608,1497.4165,2304.6995,";;29;24;9;11;28;2;7;21;19*16;1;6;4;3;17;13*8;18;23;31;26*25;5;15;30;12;10;22*20;27;14","5",""
5,1618.5923,1452.8883,1988.3823,";;10;24;9;11;28;2;7;21;19*16;1;6;4;3;17;13*8;18;23;31;26;14*5;12;15;25;29;22*20;27;30","5",""
6,1567.6708,1452.8883,1900.06,";;29;24;9;11;28;2;7;21;19*16;1;6;4;3;17;13*8;18;23;31;26;14*5;12;15;25;10;22*20;27;30","5",""
7,1533.1594,1411.9756,1705.8358,";;24;29;9;11;28;2;7;21;19*16;1;6;4;3;17;13*8;18;23;31;26;14*5;12;15;30;10;22;27;20*25","5",""
8,1499.8945,1411.9756,1694.7472,";;24;29;9;11;28;2;7;21;19*16;1;6;4;3;17;13*8;18;23;31;26;14*5;12;15;25;10;22;27*20;30","5",""
9,1467.5493,1388.36,1660.8212,";;24;29;9;11;28;2;7;21;19*16;1;6;4;3;17;13*8;18;23;31;26;14*5;12;15;25;10;22*20;27;30","5",""
10,1467.8687,1371.6776,1778.855,";;24;29;9;11;28;2;7;21;19*16;1;6;4;3;17;13*8;18;23;31;26;14*5;12;22;25;10;15*20;30;27","5",""
