"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 950.1856"
0,2118.0833,1775.1302,2466.5264,";;27;5;4;12;7;30;23;11;24;16*20;10;9;21;17;3*18;13;2;25;22*28;14;6;1;8;15;29*26;19;31","5",""
1,2017.0153,1745.3967,2469.7366,";;14;12;6;11;22;28;30*16;20;1;13;26*5;3;23;15;9;2;8;4*18;7;19;29;27;31;21;24;10*25;17","5",""
2,1938.9808,1712.0524,2262.8118,";;9;14;2;7;4;23;6;30;1;15;10*22;20;18;5;12*26;25;29;8;11;27;24*28;16;3;13*17;19;31;21","5",""
3,1875.7845,1647.8551,2215.7837,";;19;13;29;23;3;2*16;6;12;24;14;25;27*7;28;10;1;17;15;22;9*18;8;5;20;31;21*30;4;11;26","5",""
4,1813.0045,1569.5538,2160.8333,";;20;23;5;29;10;11;15*25;24;17;3;9;6*28;18;19;4;22;8;13*2;27;1;7;12;31;21;26*14;30;16","5",""
5,1763.7294,1562.9045,2141.0698,";;9;14;2;7;4;23;6;30;1;15;10*26;5;20;12;22*18;25;29;8;11*28;24;27;16;3;13*17;19;31;21","5",""
6,1703.4911,1542.4397,2081.1716,";;9;14;2;7;3;6*16;30;1;15;10;22;28;18*5;12;26;25;29*8;11;27;24;20;23;4;17*13;19;31;21","5",""
7,1666.3008,1503.2582,2145.558,";;20;23;5;29;10;11;15*25;24;17;3;9;6*28;18;22;19;13;4;8*2;27;1;7;12;31;21;26*14;30;16","5",""
8,1635.3438,1479.8384,2056.8792,";;20;23;5;29;10;11;15*25;1;9;4;22;28;18*2;12;26;13;3*8;6;27;24;7;16;21;17*31;14;19;30","5",""
9,1603.8481,1435.5757,2005.1548,";;20;23;5;29;10;11;15*25;1;6;8;22;28;18*3;12;26;13;4;9*2;27;17;7;19;31;21;24;14;30*16","5",""
10,1563.2485,1399.6044,2069.476,";;20;23;14;29;10;11;15*25;24;9;4;22;28;18*2;12;26;13;3*8;6;27;1;17;19;31;21;7;30;5*16","5",""
