"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1206.8401"
0,2108.9006,1858.4308,2579.2393,";;23;7;21;1;25;12;22;10;9*18;5;24;4;14;11;26*3;6;8;13;28;15*29;20;31;16;19;17*2;27;30","5",""
1,2028.0088,1814.9296,2329.8552,";;24;28;1;30;29;15;5;14;4*8;17;2;10;12;21*20;9;11;18;3*26;27;7;6;19;31;22;23;13*16;25","5",""
2,1990.8002,1742.9126,2462.3623,";;18;3;6;29;14;16*17;2;27;7;8;4;11;12*5;22;9;28;19;30;15;21;13*31;20;26;1;23;24;25*10","5",""
3,1925.1324,1698.656,2264.3567,";;24;28;1;30;29;15;5;14;27;7*8;4;11;12;10;22;9;2*18;3;26;17*20;6;19;31;21;23;13*16;25","5",""
4,1900.0385,1698.656,2219.824,";;24;28;1;30;29;15;5;14;27;7*8;4;11;12;10;22;9;2*18;3;26;17*20;6;19;31;25;23;13*16;21","5",""
5,1819.809,1698.656,2060.684,";;24;28;1;30;29;15;5;14;27;7*8;4;11;12;10;22;9;2*18;3;26;17*20;6;19;31;21;23;13*16;25","5",""
6,1808.682,1627.8838,2167.5916,";;24;28;1;30;29;15;5;8;4;11*17;3;14;12;10;22*9;20;18;2;26*7;13;31;19;21;23;6;27;16*25","5",""
7,1760.8817,1627.8838,2098.3352,";;24;28;1;30;29;15;5;8;4;11*17;2;14;12;10;22*9;20;18;3;26*7;13;31;19;21;23;6;27;16*25","5",""
8,1732.1188,1604.6514,2127.224,";;24;31;1;30;29;15;5;8;4;11*17;2;14;12;10*20;9;22;18;3*26;7;13;28;19;21;23;6;27*16;25","5",""
9,1676.342,1579.0446,2066.6323,";;24;28;1;30;29;15;5;20;4*11;17;2;14;12;10*22;9;8;18;3;26*7;25;31;19;21;23;13;6*16;27","5",""
10,1633.4396,1552.3811,1965.783,";;3;28;1;30;29;15;5*20;4;11;17;2;16*12;10;22;9;8;18;24*26;7;13;31;19;21;23*25;27;14;6","5",""
11,1622.9894,1495.5577,1847.3923,";;24;31;1;30;29;15;5;8;4;11*28;2;14;12;10*20;9;22;18;3*26;27;7;13;19;21;23;6;17*16;25","5",""
12,1583.7867,1461.2935,1798.684,";;24;28;1;30;29;15;5;20;4*11;17;2;14;12;10*22;9;8;18;3;23;27;7*13;19;21;31;6;16;26*25","5",""
