"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1012.67523"
0,2113.4998,1786.256,2465.5046,";;11;2;10;28;23;3*14;7;29;1;15;25;5;24*16;22;20;8;12;30;21*13;9;6;31;19;17;27;26;4*18","5",""
1,1986.5518,1608.1011,2309.5671,";;24;30;16;2;18;4;5*6;28;9;21;13;1;12;7;11*8;15;29;10;22;3;14;19*25;20;26;23;31*17;27","5",""
2,1876.9745,1608.1011,2212.9885,";;24;30;16;2;18;4;5*6;28;9;21;13;1;12;7;11*8;15;29;10;22;3;14;19*25;20;26;23;31*17;27","5",""
3,1836.5139,1559.6659,2173.7866,";;1;17;23;28;10;5;24*18;8;4;22;3;13*12;30;2;6;21;11;15;29;26*27;9;31;7;19;14;25;20*16","5",""
4,1816.2223,1559.6659,2177.2747,";;1;17;23;28;10;5;24*18;8;4;22;3;13*12;30;2;6;21;11;15;29;26*27;9;31;7;19;14;25;20*16","5",""
5,1763.475,1559.6659,2022.1702,";;1;17;23;28;10;5;24*18;8;4;22;3;13*12;30;2;6;21;11;15;29;26*27;9;31;7;19;14;25;20*16","5",""
6,1668.5736,1522.7012,1949.7542,";;1;17;23;28;10;5;24*18;8;4;22;3;13*12;2;6;9;15;29;11;19;7*25;20;26;21;31*16;30;14;27","5",""
7,1622.2456,1455.2654,2035.9861,";;24;30;16;2;18;4;5*6;28;9;21;13;1;12;7;11*8;15;29;10;22;14*20;17;31;19;3;23*25;26;27","5",""
8,1591.3059,1454.6765,1886.006,";;5;17;23;28;10;1;24*18;8;4;21;13;3*12;30;2;6;22;11;15;29*26;27;9;25;20;14*7;31;19;16","5",""
9,1559.685,1447.8022,1884.5837,";;1;17;23;28;10;5;24*18;8;4;22;3;13*12;30;2;6;21;11;15;29;16;27*9;25;20;14;7*26;31;19","5",""
10,1566.8676,1373.3875,1926.8976,";;1;17;23;28;10;5;24*18;8;4;22;3;2*12;7;11;9;15;29;30;13*26;25;20;19;31;21*16;6;14;27","5",""
11,1546.2156,1281.1709,1989.302,";;1;17;23;28;10;5;24*18;8;4;22;3;2*12;7;11;9;15;29;25*26;14;20;13;31;19*21;6;16;30;27","5",""
12,1529.109,1263.64,1912.3318,";;1;17;23;28;10;5;24*18;8;4;22;3;2*12;7;11;9;15;29;25*26;14;20;13;31;19*21;6;27;30;16","5",""
13,1461.9259,1263.64,1781.122,";;1;17;23;28;10;5;24*18;8;4;22;3;2*12;7;11;9;15;29;25*26;14;20;13;31;19*21;6;27;30;16","5",""
14,1413.8054,1263.64,1841.7557,";;1;17;23;28;10;5;24*18;8;4;22;3;2*12;7;11;9;15;29;25*26;14;20;13;31;19*21;6;27;30;16","5",""
15,1306.0579,1263.64,1687.7991,";;1;17;23;28;10;5;24*18;8;4;22;3;2*12;7;11;9;15;29;25*26;14;20;13;31;19*21;6;27;30;16","5",""
16,1290.9011,1254.2887,1608.6553,";;1;17;23;28;10;5;24*18;22;4;8;3;2*12;7;11;9;15;29;25*26;14;20;13;31;19*21;6;27;30;16","5",""
17,1287.2881,1254.2887,1558.4362,";;1;17;23;28;10;5;24*18;22;4;8;3;2*12;7;11;9;15;29;25*26;14;19;13;31;20*21;6;27;30;16","5",""
18,1281.4874,1254.2887,1524.7538,";;1;17;23;28;10;5;24*18;22;4;8;3;2*12;7;11;9;15;29;25*26;14;20;13;31;19*21;6;27;30;16","5",""
19,1270.3851,1254.2887,1544.1409,";;1;17;23;28;10;5;24*18;22;4;8;3;2*12;7;11;9;15;29;25*26;14;20;13;31;19*21;6;27;30;16","5",""
20,1271.0522,1254.2887,1564.7418,";;1;17;23;28;10;5;24*18;22;4;8;3;2*12;7;11;9;15;29;25*26;14;20;13;31;19*21;6;27;30;16","5",""
21,1274.287,1246.9496,1625.6841,";;1;17;23;28;10;5;24*18;22;4;8;3;2*12;7;11;9;15;29;25*26;14;20;21;31;19*13;6;27;30;16","5",""
22,1278.7655,1246.9496,1496.751,";;1;17;23;28;10;5;24*18;22;4;8;3;2*12;7;11;9;15;29;25*26;14;20;21;31;19*13;6;27;30;16","5",""
23,1268.4966,1236.0408,1494.6333,";;1;17;23;28;10;5;24*18;22;8;4;3;2*12;7;11;9;15;29;25*26;14;20;13;31;19*21;6;27;30;16","5",""
24,1284.4048,1228.7017,1856.297,";;1;17;23;28;10;5;24*18;22;8;4;3;2*12;7;11;9;15;29;25*26;14;20;21;31;19*13;6;27;30;16","5",""
25,1271.6499,1228.0234,1574.1191,";;1;17;23;28;10;5;24*18;22;8;4;3;2*12;30;11;9;15;29;25;26*14;20;21;31;19;13;6;27*7;16","5",""
26,1256.5237,1223.294,1609.4574,";;1;17;23;28;10;5;24*18;22;8;4;3;2*12;7;11;9;15;29;25;14*26;20;21;31;19;13;6*27;30;16","5",""
27,1251.388,1221.6168,1539.8143,";;1;17;23;28;10;5;24*18;9;8;4;3;2*12;7;11;22;15;29;25*26;14;20;21;31;19*13;6;27;30;16","5",""
28,1267.8232,1221.6168,1557.3975,";;1;17;23;28;10;5;24*18;9;8;4;3;2*12;7;11;22;15;29;25*26;14;20;21;31;19*13;6;27;30;16","5",""
29,1254.0353,1216.2091,1530.5314,";;1;17;23;28;10;5;24*18;9;8;4;3;2*12;7;11;22;15;29;25*14;26;20;21;31;19*13;6;27;30;16","5",""
30,1239.6466,1216.2091,1531.533,";;1;17;23;28;10;5;24*18;9;8;4;3;2*12;7;11;22;15;29;25*14;26;20;21;31;19*13;6;27;30;16","5",""
31,1232.482,1216.2091,1537.8038,";;1;17;23;28;10;5;24*18;9;8;4;3;2*12;7;11;22;15;29;25*14;26;20;21;31;19*13;6;27;30;16","5",""
32,1235.6108,1216.2091,1567.726,";;1;17;23;28;10;5;24*18;9;8;4;3;2*12;7;11;22;15;29;25*14;26;20;21;31;19*13;6;27;30;16","5",""
33,1248.0558,1216.2091,1600.1016,";;1;17;23;28;10;5;24*18;9;8;4;3;2*12;7;11;22;15;29;25*14;26;20;21;31;19*13;6;27;30;16","5",""
34,1225.48,1197.8159,1385.442,";;1;17;23;28;10;5*25;18;9;8;4;3*22;12;7;11;2;15;29;24*14;26;20;21;31;19*13;6;27;30;16","5",""
35,1255.3859,1178.378,1621.2216,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;7;11;22;15;29;5;14*26;20;21;31;19;13;6*27;30;16","5",""
36,1236.2596,1178.378,1561.5367,";;26;17;23;28;10*25;24;18;9;8;4;3*2;12;7;11;22;15;29*5;14;1;20;21;31;19*13;6;27;30;16","5",""
37,1222.8469,1178.378,1665.5323,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;7;11;22;15;29;5;14*26;20;21;31;19;13;6*27;30;16","5",""
38,1213.4059,1178.378,1558.0236,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;7;11;22;15;29;5;14*26;20;21;31;19;13;6*27;30;16","5",""
39,1208.431,1178.378,1553.0427,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;7;11;22;15;29;5;14*26;20;21;31;19;13;6*27;30;16","5",""
40,1208.4048,1178.378,1533.2783,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;7;11;22;15;29;5;14*26;20;21;31;19;13;6*27;30;16","5",""
41,1201.5294,1178.378,1562.0054,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;7;11;22;15;29;5;14*26;20;21;31;19;13;6*27;30;16","5",""
42,1203.8081,1178.378,1612.5653,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;7;11;22;15;29;5;14*26;20;21;31;19;13;6*27;30;16","5",""
43,1182.788,1178.378,1397.4484,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;7;11;22;15;29;5;14*26;20;21;31;19;13;6*27;30;16","5",""
44,1199.0244,1166.289,1571.5128,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;6;11;22;15;29;5;14*26;20;21;31;19;13*7;27;30;16","5",""
45,1217.442,1146.6753,1682.6514,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;7;11;22;15;29;5*20;26;14;21;31;19*13;6;27;30;16","5",""
46,1201.1094,1146.6753,1682.6514,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;7;11;22;15;29;5*20;26;14;21;31;19*13;6;27;30;16","5",""
47,1177.348,1134.5862,1569.2673,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;6;11;22;15;29;5*20;26;14;21;31;19*13;7;27;30;16","5",""
48,1166.8215,1134.5862,1473.089,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;6;11;22;15;29;5*20;26;14;21;31;19*13;7;27;30;16","5",""
49,1155.8741,1134.5862,1425.9673,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;6;11;22;15;29;5*20;26;14;21;31;19*13;7;27;30;16","5",""
50,1165.0547,1134.5862,1597.7167,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;6;11;22;15;29;5*20;26;14;21;31;19*13;7;27;30;16","5",""
51,1152.5529,1133.353,1488.6852,";;1;17;3;28;10;25*24;18;9;8;4;23;2;12;6*11;22;15;29;5;20*26;14;21;31;19;13;7;27;30*16","5",""
52,1148.2161,1089.5491,1566.5165,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;6;11;22;15;29;5*20;27;14;21;31;19;13;7*26;30;16","5",""
53,1158.1199,1089.5491,1577.0856,";;1;17;23;28;10;25;24*18;9;8;4;3;2*12;6;11;22;15;29;5*20;27;14;21;31;19;13;7*26;30;16","5",""
54,1143.8378,1083.434,1571.8369,";;1;3;23;28;10;25;24*18;9;8;4;17;2;30;6*11;22;15;29;5;20;27;14*21;31;19;13;7;26;12*16","5",""
55,1133.4022,1083.434,1478.476,";;1;17;23;28;10;25;24*18;9;15;4;3;2;30;6;11*22;8;29;5;20;27*14;21;31;19;13;7;26*12;16","5",""
56,1137.2684,1079.1974,1407.8018,";;1;17;23;9;10;25;24;18*28;8;4;3;2;30;6;11*22;15;29;5;20;27;14;21*31;19;13;7;26;12*16","5",""
57,1116.0952,1079.1974,1505.8485,";;1;17;23;9;10;25;24;18*28;8;4;3;2;30;6;11*22;15;29;5;20;27;14;21*31;19;13;7;26;12*16","5",""
58,1106.9158,1056.7794,1379.5415,";;1;17;23;28;10;25;24*18;9;8;4;3;2*14;6;11;22;15;29;5*20;27;30;21;31;19;13;7*26;12;16","5",""
59,1095.6271,1052.5428,1474.911,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27;30;21*31;19;13;7;26;12*16","5",""
60,1103.55,1052.5428,1463.6975,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27;30;21*31;19;13;7;26;12*16","5",""
61,1079.0104,1052.5428,1419.5931,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27;30;21*31;19;13;7;26;12*16","5",""
62,1073.2269,1052.5428,1415.3566,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27;30;21*31;19;13;7;26;12*16","5",""
63,1066.4941,1052.5428,1386.6093,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27;30;21*31;19;13;7;26;12*16","5",""
64,1075.8022,1052.5428,1467.6356,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27;30;21*31;19;13;7;26;12*16","5",""
65,1061.8539,1042.178,1493.3055,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
66,1078.7173,1042.178,1489.7523,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
67,1071.1896,1042.178,1347.4332,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
68,1064.9628,1042.178,1411.6847,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
69,1055.1261,1042.178,1376.5353,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
70,1074.1515,1042.178,1411.1377,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
71,1065.0919,1042.178,1347.5844,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
72,1062.1006,1042.178,1430.3867,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
73,1061.7131,1042.178,1411.1377,";;1;17;23;9;10;25;24;18*28;8;4;3;2;14*6;11;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
74,1063.5242,1040.502,1397.0402,";;1;17;23;9;10;25;24;18*28;14;4;2;3;6*8;11;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
75,1068.5565,1040.502,1380.6313,";;1;17;23;9;10;25;24;18*28;8;4;2;3;14*6;11;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
76,1060.8096,1040.502,1396.2769,";;1;17;23;9;10;25;24;18*28;8;4;2;3;14*6;11;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
77,1075.9254,1040.502,1541.8635,";;1;17;23;9;10;25;24;18*28;8;4;2;3;14*6;11;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
78,1079.0118,1014.3159,1431.4343,";;1;17;23;9;10;25;24;18*28;11;4;2;3;14;6*8;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
79,1052.3477,1014.3159,1394.3923,";;1;17;23;9;10;25;24;18*28;11;4;2;3;14;6*8;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
80,1055.3801,1014.3159,1356.6356,";;1;17;23;9;10;25;24;18*28;11;4;2;3;14;6*8;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
81,1043.0061,1014.3159,1394.8685,";;1;17;23;9;10;25;24;18*28;11;4;2;3;14;6*8;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
82,1036.8076,1014.2999,1351.8937,";;1;17;23;9;10;25;24;18*4;11;28;2;3;14;6*8;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
83,1025.5284,1014.2999,1342.05,";;1;17;23;9;10;25;24;18*4;11;28;2;3;14;6*8;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
84,1038.6857,1014.2999,1408.996,";;1;17;23;9;10;25;24;18*4;11;28;2;3;14;6*8;22;15;29;5;20;27*12;21;31;19;13;7;26;30*16","5",""
85,1030.5612,1014.2999,1409.7507,";;1;17;23;9;10;25;24;12;4*11;28;2;3;14;6*8;22;15;29;5;20;27*18;21;31;19;13;7;26*30;16","5",""
86,1030.4523,1012.67523,1405.2803,";;1;17;23;22;10;25;24*18;4;11;28;2;3*14;6;8;9;15;29;5*20;27;12;21;31;19;13;7*26;30;16","5",""
87,1051.0422,1012.67523,1362.5896,";;1;17;23;22;10;25;24*18;4;11;28;2;3*14;6;8;9;15;29;5*20;27;12;21;31;19;13;7*26;30;16","5",""
88,1034.3369,1012.67523,1319.7142,";;1;17;23;22;10;25;24*18;4;11;28;2;3*14;6;8;9;15;29;5*20;27;12;21;31;19;13;7*26;30;16","5",""
