"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1148.3993"
0,2122.765,1779.3185,2458.633,";;5;9;11;6;16;15;1;13*3;23;29;18;19;7;12;21*28;17;22;8;14;27;24;30*25;10;2;31;20*4;26","5",""
1,1988.1255,1647.4589,2296.6956,";;8;23;11;3;19;2;22;18*20;6;21;9;15;25;7;1;4*28;10;27;31;30;17;13*12;26;24;16;29;14*5","5",""
2,1885.5562,1574.1523,2315.4983,";;14;29;30;26;12;19;7;21;1;6*11;18;15;25;5;9;28*17;22;8;10;24;3*2;23;16;4;13;31;27*20","5",""
3,1805.7262,1538.3319,2132.2542,";;8;23;11;3;19;2;22;18*20;6;9;10;15;25;5*4;28;17;7;1;31;30;27;13*12;26;24;16;29;14*21","5",""
4,1721.7428,1491.9288,2163.36,";;14;29;24;7;1;30;12;21;19;6*18;9;15;25;5;11;4;27;22*8;10;28;3;2;23*16;26;13;31;17*20","5",""
5,1643.5939,1410.6599,2038.2708,";;5;29;24;7;1;30;12;21;19;6*18;9;15;25;14;11;4;27;22*8;10;28;3;2;23*16;26;13;31;17*20","5",""
6,1591.5743,1386.254,2002.8986,";;5;29;24;7;1;30;12;21;19;6*18;9;15;25;4;11;28;27;22*8;10;14;3;2;23*16;26;13;31;17*20","5",""
7,1550.1558,1386.254,1963.9575,";;5;29;24;7;1;30;12;21;19;6*18;9;15;25;4;11;28;27;22*8;10;14;3;2;23*16;26;13;31;17*20","5",""
8,1486.0798,1357.7773,2013.5277,";;5;29;24;17;1;30;12;21;19;6*18;9;15;25;4;11;28;27*14;8;10;22;3;2*23;16;26;13;31;7*20","5",""
9,1419.0238,1357.7773,1656.0186,";;5;29;24;7;1;30;12;21;19;6*18;9;15;25;4;11;28;27*14;8;10;22;3;2*23;16;26;13;31*17;20","5",""
10,1392.3855,1348.6978,1570.478,";;5;29;24;7;1;30;12;21;19;6;9*10;15;25;11;4;28;27;22*8;18;14;3;2;23*16;26;13;31;17*20","5",""
11,1378.0426,1332.7734,1659.4287,";;5;29;24;7;1;30;12;21;19;6*18;9;15;25;11;4;28;27*14;10;8;22;3;2*23;16;26;13;31*17;20","5",""
12,1386.2954,1309.8398,1688.123,";;5;29;24;7;1;30;12;21;19;6;9*10;15;25;11;4;28;27;14*8;18;22;3;2;23*16;26;13;31;17*20","5",""
13,1366.0011,1304.0895,1632.0507,";;5;29;24;7;1;30;12;21;19;6;9*10;15;25;11;4;28;27;14*18;8;22;3;2;23*16;26;13;31;17*20","5",""
14,1352.989,1298.682,1569.5077,";;5;29;24;7;1;30;12;21;19;6;9*10;15;25;11;4;28;27*20;8;18;22;3*2;23;16;26;13*31;17;14","5",""
15,1324.1351,1298.682,1580.7601,";;5;29;24;7;1;30;12;21;19;6;9*10;15;25;11;4;28;27*20;8;18;22;3*2;23;16;26;13*31;17;14","5",""
16,1313.865,1290.417,1621.082,";;5;29;24;7;1;10;12;21;19;6*9;30;15;25;11;4;22;27;14;18*8;28;3;2;23*16;26;13;31;17*20","5",""
17,1318.9684,1271.748,1597.2068,";;5;29;24;7;1;30;12;21;19;6;9*10;15;25;11;4;28;27*20;22;18;8;3*2;23;16;26;13*31;17;14","5",""
18,1334.9656,1271.748,1775.3813,";;5;29;24;7;1;30;12;21;19;6;9*10;15;25;11;4;28;27*20;22;18;8;3*2;23;16;26;13*31;17;14","5",""
19,1312.159,1263.4988,1543.7113,";;5;29;24;7;1;30;12;21;13*6;9;10;15;25;11;4;28;27*20;22;18;8;3*2;23;16;26;19;31*17;14","5",""
20,1298.1458,1263.4988,1538.45,";;5;29;24;7;1;30;12;21;13*6;9;10;15;25;11;4;28;27*20;22;18;8;3*2;23;16;26;19;31*17;14","5",""
21,1296.4648,1263.4988,1597.931,";;5;29;24;7;1;30;12;21;13*6;9;10;15;25;11;4;28;27*20;22;18;8;3*2;23;16;26;19;31*17;14","5",""
22,1289.0198,1225.7692,1598.288,";;5;29;24;7;1;30;12;21;13*6;9;10;25;15;11;4;28;27;19*22;18;8;3;2;23*16;26;20;31*17;14","5",""
23,1280.6011,1210.6902,1592.627,";;5;29;24;7;1;30;12;21;13*6;9;10;15;22;11;4;28;27*20;25;18;8*3;2;23;16;26;19*31;17;14","5",""
24,1272.7844,1193.0071,1447.7228,";;5;20;24;7;1;30;12;21*13;28;9;10;25;15;11*4;6;27;29;22;18;8;3*2;23;16;26;19;31*17;14","5",""
25,1246.6727,1193.0071,1459.3553,";;5;20;24;7;1;30;12;21*13;6;9;10;25;15;11;4*28;27;29;17;18;8*3;2;23;16;26;19*31;22;14","5",""
26,1235.5331,1193.0071,1516.5319,";;5;20;24;7;1;30;12;21*13;6;9;10;25;15;11;4*28;27;29;22;18;8*3;2;23;16;26;19*31;17;14","5",""
27,1231.2395,1193.0071,1633.2551,";;5;20;24;7;1;30;12;21*13;6;9;10;25;15;11;4*28;27;29;22;18;8*3;2;23;16;26;19*31;17;14","5",""
28,1225.8636,1193.0071,1618.4087,";;5;20;24;7;1;30;12;21*13;6;9;10;25;15;11;4*28;27;29;22;18;8*3;2;23;16;26;19*31;17;14","5",""
29,1208.484,1176.7277,1554.5897,";;5;20;24;7;1;30;12;21*13;6;15;10;25;9;11*16;28;27;29;22;18*8;3;2;23;4;26;19*31;17;14","5",""
30,1202.4962,1157.4984,1439.7094,";;5;20;24;7;13;30;12*21;1;6;29;10;25;15;11;4*28;27;9;22;18;8;3*2;23;16;26;19;31*17;14","5",""
31,1209.3048,1157.4984,1590.26,";;5;20;24;7;1;30;12;21*13;6;29;10;25;15;11;4*28;27;9;22;18;8;3*2;23;16;26;19;31*17;14","5",""
32,1210.4847,1157.4984,1479.0853,";;5;20;24;7;1;30;12;21*13;6;29;10;25;15;11;4*28;27;9;22;18;8;3*2;23;16;26;19;31*17;14","5",""
33,1193.1714,1150.6106,1450.6108,";;5;20;24;7;1;30;12;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;26;19;31*17;14","5",""
34,1179.1414,1150.6106,1459.7384,";;5;20;24;7;1;30;12;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;26;19;31*17;14","5",""
35,1181.6631,1150.6106,1533.5854,";;5;20;24;7;1;30;12;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;26;19;31*17;14","5",""
36,1179.5583,1149.2421,1677.2958,";;5;20;24;7;1;12;30;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;26;19;31*17;14","5",""
37,1193.9568,1149.2421,1530.7646,";;5;20;24;7;1;12;30;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;26;19;31*17;14","5",""
38,1174.4996,1148.3993,1515.2131,";;5;20;24;7;1;12;30;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;17;19;31*26;14","5",""
39,1173.0237,1148.3993,1502.2871,";;5;20;24;7;1;12;30;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;17;19;31*26;14","5",""
40,1167.5092,1148.3993,1479.5956,";;5;20;24;7;1;12;30;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;17;19;31*26;14","5",""
41,1170.0414,1148.3993,1458.1295,";;5;20;24;7;1;12;30;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;17;19;31*26;14","5",""
42,1170.559,1148.3993,1583.3944,";;5;20;24;7;1;12;30;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;17;19;31*26;14","5",""
43,1156.3254,1148.3993,1581.9318,";;5;20;24;7;1;12;30;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;17;19;31*26;14","5",""
44,1173.2291,1148.3993,1483.2229,";;5;20;24;7;1;12;30;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;17;19;31*26;14","5",""
45,1175.4966,1148.3993,1583.3944,";;5;20;24;7;1;12;30;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;17;19;31*26;14","5",""
46,1168.321,1148.3993,1573.4745,";;5;20;24;7;1;12;30;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;17;19;31*26;14","5",""
47,1172.3625,1148.3993,1529.388,";;5;20;24;7;1;12;30;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;17;19;31*26;14","5",""
48,1173.2324,1148.3993,1551.6649,";;5;20;24;7;1;12;30;21*13;6;29;10;25;9;11*4;28;27;15;22;18;8;3*2;23;16;17;19;31*26;14","5",""
