"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1218.6195"
0,2133.8557,1766.1742,2538.479,";;6;26;19;2;10;8*25;27;12;7;30;23;3;22;15*20;5;11;4;16;17*9;24;18;13;31;21;1;28*29;14","5",""
1,2011.4972,1710.821,2464.9126,";;30;3;16;6;20;2*25;10;15;8;21;7;13;1*12;24;23;5;9;29;14*26;27;28;18;11;4;17;19*31;22","5",""
2,1916.6189,1633.5975,2307.1716,";;6;26;19;2;10;11;25*27;12;7;30;23;3;9;15;20*5;8;4;29;14;1;22*28;18;31;21;17;24*13;16","5",""
3,1839.1156,1633.5975,2249.2756,";;6;26;19;2;10;8*25;27;12;7;30;23;3;9;15*20;5;11;4;29;14;1;22*28;18;31;21;17;24*13;16","5",""
4,1730.6707,1597.031,2142.9663,";;6;26;19;2;11;8;25*27;12;7;30;23;3;22;15;20*5;10;4;18;1;9;24;16*13;31;21;17;28;29*14","5",""
5,1674.8794,1519.9734,1921.7594,";;6;26;19;2;11;8;25*27;12;7;30;23;3;9;15;20*5;10;4;29;14;1;22*28;18;31;21;17;24*13;16","5",""
6,1655.8018,1479.7917,2125.7427,";;6;26;19;2;11;8;25*18;12;7;30;23;3;9;15*20;5;10;4;29;14;1*22;28;27;31;21;17;13*24;16","5",""
7,1605.9131,1453.2539,2064.319,";;6;26;19;2;11;8;25*27;12;7;30;23;3;9;15;20*5;10;29;4;14;1;22*28;18;31;21;17;13*24;16","5",""
8,1531.1064,1453.2539,1835.7297,";;6;26;8;2;11;19;25*27;12;7;30;23;3;9;15;20*5;10;29;4;14;1;22*28;18;31;21;17;13*24;16","5",""
9,1495.1741,1453.2539,1746.9073,";;6;26;19;2;11;7;25;27*12;8;30;23;3;9;15;20*5;10;29;4;14;1;22*28;18;31;21;17;13*24;16","5",""
10,1476.7549,1453.2539,1765.3088,";;7;26;19;2;11;8*25;27;12;6;30;23;3;9;15*20;5;10;29;4;14;1*22;28;18;31;21;17*13;24;16","5",""
11,1479.157,1406.3579,1825.7017,";;6;26;19;2;11;8;25*27;12;7;30;23;22;9;15;20;5*10;29;4;14;1;3;28*18;31;21;17;13;24*16","5",""
12,1477.1277,1406.3579,1796.4529,";;6;26;19;2;11;8;25*27;12;7;30;23;22;9;15;20;5*10;29;4;14;1;3;28*18;31;21;17;13;24*16","5",""
13,1457.8749,1400.7695,1726.7928,";;24;26;19;2;11;8;25*27;12;7;30;23;22;9;15;20;5*10;29;4;14;1;3;28*18;31;21;17;13;6*16","5",""
14,1435.3997,1364.1116,1779.4703,";;6;13;19;11;4;8;25;27;12*7;30;23;22;9;15;20;5;10*29;2;14;1;3;28*18;31;21;17;26;24*16","5",""
15,1409.9147,1350.5168,1706.5248,";;6;13;19;2;11;8;25*16;12;7;30;23;22;9;15;20*5;10;29;4;14;1;3*28;18;31;21;17*26;24;27","5",""
16,1402.8326,1350.5168,1759.4551,";;6;13;19;2;11;8;25*16;12;7;30;23;22;9;15;20*5;10;29;4;14;1;3*28;18;31;21;17*26;24;27","5",""
17,1381.6283,1344.7826,1619.7861,";;6;13;19;2;4;8;25*16;12;7;30;23;22;9;15;20*5;10;29;11;14;1;3*28;18;31;21;17*26;24;27","5",""
18,1375.7794,1344.7826,1666.4662,";;6;13;19;2;4;8;25*16;12;7;30;23;22;9;15;20*5;10;29;11;14;1;3*28;18;31;21;17*26;24;27","5",""
19,1374.21,1329.1143,1608.0713,";;6;13;19;2;4;8;25*16;12;7;30;23;22;9;15;20*5;10;29;11;14;1;18*28;3;31;21;17*26;24;27","5",""
20,1361.2449,1329.1143,1614.2745,";;6;13;19;2;4;8;25*16;12;7;30;23;22;9;15;20*5;10;29;11;14;1;18*28;3;31;21;17*26;24;27","5",""
21,1358.9976,1322.4575,1630.717,";;6;13;19;2;4;8;25*16;12;7;30;23;22;9;15;10*5;20;29;11;14;1*3;28;18;31;21;17*26;24;27","5",""
22,1350.7858,1306.7892,1682.7242,";;6;13;19;2;4;8;25*16;12;7;30;23;22;9;15;10*5;20;29;11;14;1*18;28;3;31;21;17*26;24;27","5",""
23,1349.8271,1302.7594,1831.3761,";;6;13;19;2;4;14;25*16;12;7;30;23;22;9;15;10*5;20;29;11;8;1*18;28;3;31;21;17*26;24;27","5",""
24,1336.169,1302.7594,1619.8422,";;6;13;19;2;4;14;25*16;12;7;30;23;22;9;15;10*5;20;29;11;8;1*18;28;3;31;21;17*26;24;27","5",""
25,1329.5146,1302.7594,1750.2755,";;6;13;19;2;4;14;25*16;12;7;30;23;22;9;15;10*5;20;29;11;8;1*18;28;3;31;21;17*26;24;27","5",""
26,1341.2333,1279.8652,1643.7744,";;6;13;19;2;4;14;25*16;12;1;30;23;22;9;15;10;5*20;29;11;8;7;18*28;3;31;21;17*26;24;27","5",""
27,1313.6346,1279.8652,1565.7704,";;6;13;19;2;4;14;25*16;12;1;30;23;22;9;15;10;5*20;29;11;8;7;18*28;3;31;21;17*26;24;27","5",""
28,1328.5413,1279.8652,1646.9128,";;6;13;19;2;4;14;25*16;12;1;30;23;22;9;15;10;5*20;29;11;8;7;18*28;3;31;21;17*26;24;27","5",""
29,1339.2141,1255.5101,1714.683,";;6;13;3;2;4;14*25;16;12;1;30;23;22;9;15*10;5;20;29;11;8*7;18;28;19;31;21;17*26;24;27","5",""
30,1304.23,1255.5101,1648.8163,";;6;13;3;25;4;14*31;16;12;1;30;23;22;9;15;10*5;20;29;11;8;7*18;28;19;2;21;17*26;24;27","5",""
31,1299.9825,1255.5101,1682.6993,";;6;13;1;2;4;14;25*16;12;3;30;23;22;9;15;10*5;20;29;11;8;7*18;28;19;31;21;17*26;24;27","5",""
32,1286.6449,1240.7559,1602.8733,";;6;13;3;2;4;14;24*16;12;1;30;23;22;9;15;10;5*20;29;11;8;7;18*28;19;31;21;17;26*25;27","5",""
33,1287.5831,1233.0851,1631.3011,";;6;13;3;2;4;14;24*26;12;1;30;23;22;9;15;10;5*20;29;11;8;7;18*28;21;31;25;17*16;19;27","5",""
34,1274.7068,1233.0851,1630.2529,";;6;13;3;2;4;14;24*16;12;1;30;23;22;9;15;10;5*20;29;11;8;7;18*28;21;31;19;17;26*25;27","5",""
35,1266.8622,1233.0851,1672.0461,";;6;13;3;2;4;14;24*16;12;1;30;23;22;9;15;10;5*20;29;11;8;7;18*28;21;31;19;17;26*25;27","5",""
36,1305.1039,1233.0851,1728.9506,";;6;13;3;2;4;14;24*16;12;1;30;23;22;9;15;10;5*20;29;11;8;7;18*28;21;31;19;17;26*25;27","5",""
37,1252.9612,1233.0851,1543.9066,";;6;13;3;2;4;14;24*16;12;1;30;23;22;9;15;10;5*20;29;11;8;7;18*28;21;31;19;17;26*25;27","5",""
38,1255.473,1233.0851,1634.0027,";;6;13;3;2;4;14;24*16;12;1;30;23;22;9;15;10;5*20;29;11;8;7;18*28;21;31;19;17;26*25;27","5",""
39,1261.3232,1233.0851,1530.2177,";;6;13;3;2;20*14;24;16;12;1;30;23;22;9;15*10;5;4;29;11;8;7*18;28;21;31;19;17*26;25;27","5",""
40,1260.9336,1233.0851,1563.4514,";;6;13;3;2;4;14;24*16;12;1;30;23;22;9;15;10;5*20;29;11;8;7;18*28;21;31;19;17;26*25;27","5",""
41,1254.0934,1233.0851,1548.1129,";;6;13;3;2;4;14;24*16;12;1;30;23;22;9;15;10;5*20;29;11;8;7;18*28;21;31;19;17;26*25;27","5",""
42,1260.9022,1225.284,1678.317,";;6;13;3;2;4;14;24*16;12;1;30;23;22;9;15;10;5*20;29;18;8;7;11*28;21;31;19;17;26*25;27","5",""
