"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1138.5642"
0,2133.3955,1828.8766,2415.804,";;4;28;6;13;2;17*8;16;30;31;10;9;11;29*20;12;1;18;14;26*22;24;7;15;5;23;25;27;19*3;21","5",""
1,1994.2478,1642.0671,2287.3887,";;12;23;4;8;3;5;28*2;13;17;1;7;6;29*18;15;25;10;21;16;11*22;9;20;27;14;30;19;24;31*26","5",""
2,1904.2937,1547.4401,2283.005,";;12;23;4;8;3;5;28*2;14;17;1;7;6;29*18;15;25;10;21;16;11*22;9;20;27;13;30;19;31;24*26","5",""
3,1826.0178,1547.4401,2095.7344,";;12;23;4;8;3;5;28*2;13;15;1;7;6;29;18*17;25;10;21;16;11*22;9;20;27;14;30;19;31;24*26","5",""
4,1766.6869,1532.8818,2085.2815,";;21;19;8;3;18;11;28*2;13;17;1;7;6;29;4*15;25;10;14;16;5*22;9;23;20;12;27;24;31*26;30","5",""
5,1696.0809,1488.0758,2023.5098,";;12;23;4;8;18;11;28*2;13;17;1;7;6;29*3;15;25;10;21;16*5;22;9;20;27;14;30;19;31*24;26","5",""
6,1608.1044,1488.0758,2012.2731,";;12;23;4;8;18;11;28*2;13;17;1;7;6;29*3;15;25;10;21;16*5;22;9;20;27;14;30;19;31*24;26","5",""
7,1558.8483,1426.9264,1960.1346,";;12;23;4;3;18;11;28*2;13;17;1;7;6;29*5;15;25;10;21;16*8;22;9;20;27;14;30;19;31*24;26","5",""
8,1514.0103,1423.7938,1776.3779,";;21;19;4;3;11;18;28*2;13;17;1;7;6;29*8;15;25;10;14;16*5;22;9;23;27;20;24;30*26;12;31","5",""
9,1473.4514,1362.1605,1837.1155,";;21;19;4;8;18;11;28;2*13;17;1;7;6;29;5;15*25;10;23;16;3;22*9;20;27;14;24;30;26;12*31","5",""
10,1439.2762,1355.7743,1814.9014,";;12;23;4;8;18;11;28*2;13;17;1;7;6;29*5;15;25;10;19;16*3;22;9;20;27;14;24;30*26;21;31","5",""
11,1407.4347,1346.0237,1661.9862,";;12;23;4;8;18;11;28*2;13;17;1;7;6;29*5;15;25;10;21;16*3;22;9;20;27;14;24;30*31;19;26","5",""
12,1375.4867,1330.9907,1654.959,";;12;23;4;8;18;11;28*2;21;17;1;7;6;29;5*15;25;10;13;16*3;22;9;20;27;14;24;30*26;19;31","5",""
13,1369.3159,1312.413,1688.6136,";;21;17;4;8;18;11;28*2;31;19;1;7;6;29;5;15*25;10;23;16;3;22*9;20;27;14;24;30;26;12*13","5",""
14,1359.7529,1261.9764,1661.5162,";;12;23;4;8;18;11;28*2;21;17;1;7;6;20*5;15;25;10;13*16;3;22;9;29;27;14*24;30;31;19;26","5",""
15,1336.6396,1261.9764,1740.0698,";;12;23;4;8;18;11;28*2;21;17;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
16,1326.4717,1261.9764,1605.5742,";;12;23;4;8;18;11;28*2;21;17;1;7;6;20*5;15;25;10;13*16;3;22;9;29;27;14*24;30;31;19;26","5",""
17,1298.816,1215.7284,1742.8053,";;12;23;4;8;18;11;28*2;21;17;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
18,1272.2103,1215.7284,1729.863,";;12;23;4;8;18;11;28*2;21;17;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
19,1258.5073,1215.7284,1599.5664,";;12;23;4;8;18;11;28*2;21;17;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
20,1241.6775,1215.7284,1656.5416,";;12;23;4;8;18;11;28*2;21;17;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
21,1264.5579,1201.2894,1674.5396,";;12;23;4;11;18;8;28*2;21;17;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
22,1232.1604,1195.7716,1674.5396,";;12;23;4;8;18;11;28*2;17;21;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
23,1227.968,1195.7716,1698.817,";;12;23;4;8;18;11;28*2;17;21;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
24,1225.2714,1181.3325,1628.9271,";;12;23;4;11;18;8;28*2;17;21;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
25,1232.8105,1181.3325,1684.1238,";;12;23;4;11;18;8;28*2;17;21;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
26,1214.308,1181.3325,1663.1538,";;12;23;4;11;18;8;28*2;17;21;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
27,1216.1383,1181.3325,1690.0984,";;12;23;4;11;18;8;28*2;17;21;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
28,1207.9933,1181.3325,1599.6703,";;12;23;4;11;18;8;28*2;17;21;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
29,1215.8037,1181.3325,1663.1538,";;12;23;4;11;18;8;28*2;17;21;1;7;6;20*5;15;25;10;30;16*3;22;9;29;27;14;24*13;31;19;26","5",""
30,1224.1385,1168.3625,1714.3665,";;12;23;4;11;18;8;28*2;20;21;1;7;27;17*5;15;25;10;30;16*3;22;9;29;6;14;24*13;31;19;26","5",""
31,1199.3422,1168.3625,1599.6703,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;22;9;29;6;14;24*13;26;19;31","5",""
32,1196.7231,1168.3625,1454.0016,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;22;9;29;6;14;24*13;31;19;26","5",""
33,1217.2697,1168.3625,1663.1538,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;22;9;29;6;14;24*13;31;19;26","5",""
34,1194.7388,1164.9774,1435.1748,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24*13;31;19;26","5",""
35,1186.4543,1164.9774,1456.4567,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24*13;31;19;26","5",""
36,1188.7169,1164.9774,1508.93,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24*13;31;19;26","5",""
37,1192.5079,1164.9774,1614.9155,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24*13;31;19;26","5",""
38,1178.2045,1163.8751,1646.8273,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24*13;19;31;26","5",""
39,1198.1554,1163.8751,1554.2051,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24*13;19;31;26","5",""
40,1191.5127,1163.8751,1606.9423,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24*13;19;31;26","5",""
41,1181.1527,1163.8751,1480.6967,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24*13;19;31;26","5",""
42,1186.227,1163.8751,1590.8896,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24*13;19;31;26","5",""
43,1187.1019,1162.7405,1599.4619,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24;31;19*13;26","5",""
44,1176.9404,1162.7405,1634.9156,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24;31;19*13;26","5",""
45,1188.8196,1162.7405,1590.8896,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24;31;19*13;26","5",""
46,1207.4111,1162.7405,1583.7091,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24;31;19*13;26","5",""
47,1217.3024,1162.7405,1553.1138,";;12;23;4;11;18;8;28*2;17;21;1;7;27;20*5;15;25;10;30;16*3;9;22;29;6;14;24;31;19*13;26","5",""
48,1180.288,1138.5642,1555.7189,";;12;23;4;11;18;8;28*16;17;21;1;7;27;20*5;15;25;10;30;2*3;9;22;29;6;14;24;31;19*13;26","5",""
49,1198.0109,1138.5642,1570.072,";;12;23;4;11;18;8;28*16;17;21;1;7;27;20*5;15;25;10;30;2*3;9;22;29;6;14;24;31;19*13;26","5",""
