"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1405.6964"
0,2846.5488,2499.0837,3210.5725,";;14;8;36;39;42;3;38*2;7;35;28;17*19;11;27;33;10;30;20;26;1;32*16;31;29;40;9;22;24*21;43;4;37;25;23*12;41;44;6;13;5;15*34;18","7",""
1,2706.2441,2372.9788,3081.6252,";;39;4;31;36;17*16;11;37;33;41;35;34*5;32;3;10;8;22;21;13;12*28;38;23;2;24;27;6*25;9;42;20;19;7;18*30;1;14;15;43;29;26*40;44","7",""
2,2611.0786,2325.3738,2994.0283,";;39;4;31;36;17*16;11;37;33;5;8*21;27;41;35;3;10;22;32*13;12;28;38;23;2;24*34;6;25;9;42;20;19;7*18;30;1;14;15;43;29*26;40;44","7",""
3,2507.7358,2298.7112,2879.6218,";;27;8;12;35;17;25;2*22;4;29;3;20;21;11;31;42*15;23;7;1;28;14;33*30;19;40;9;10;24;26;43*18;37;6;34;16;5*41;32;44;38;13*39;36","7",""
4,2432.3687,2239.1833,2737.8738,";;39;4;31;36;17*16;11;37;33;41;35;34*5;32;3;10;8;22;21;13*28;14;15;30;19*40;9;27;24;26;43;18;7;6;1*29;2;42;12;25;38;20*23;44","7",""
5,2400.1895,2196.9487,2736.1128,";;40;34;19;22;9;35;31*37;33;41;13;4;5*32;3;10;8;7;12;1;38;20;21*30;14;2;15;29*24;26;43;18;17;6;11;16;27*23;28;44;42;25;39*36","7",""
6,2376.8809,2094.4678,2760.831,";;40;34;19;22;9;35;31*37;33;41;13;4;5*32;3;10;8;7;12;1;38;20;21*30;14;2;15;29*24;26;43;18;11;6;17;27;23*42;16;25;28;44;39*36","7",""
7,2358.132,2094.4678,2731.002,";;40;34;19;22;9;35;31*37;33;41;13;4;5*32;3;10;8;7;12;1;38;20;21*30;14;2;15;29*24;26;43;18;11;6;17;27;23*42;16;25;28;44;39*36","7",""
8,2289.4785,2094.4678,2781.543,";;40;34;19;22;9;35;31*37;33;41;13;4;5*32;3;10;8;7;12;1;38;20;21*30;14;2;15;29*24;26;43;18;11;6;17;27;23*42;16;25;28;44;39*36","7",""
9,2251.547,2043.16,2745.581,";;40;34;19;22;9;35;31*37;33;5;8;21;3;32*44;10;23;17;41;13*28;14;15;30;11;4;20*27;24;26;43;18;7;6;1;38;12;42*16;25;29;2;39*36","7",""
10,2170.4956,2043.16,2631.7378,";;40;34;19;22;9;35;31*37;33;5;8;21;3;32*44;18;23;17;41*13;28;14;15;30;11;4*20;27;24;26;43;10;7;6;1;38;39;42*16;25;29;2;12*36","7",""
11,2119.863,2014.9843,2437.4783,";;40;34;19;22;9;35;31*37;33;5;8;21;3;32*13;10;4;7;12;1;38;20;11;30*14;2;15;27;24;26;43;18*17;6;28;41;23;42*16;25;29;44;39*36","7",""
12,2105.6714,2014.9843,2418.5916,";;40;34;19;22;9;35;31*37;33;5;8;21;3;32*13;10;4;7;12;1;38;20;11;30*14;2;15;27;24;26;43;18*17;6;28;41;23;42*16;25;29;44;39*36","7",""
13,2100.9307,2004.4135,2383.7632,";;40;34;19;22;9;35;31*37;33;5;8;21;3;32*44;10;4;23;12;1;38;20;13*30;14;2;15;29*24;26;43;18;11;6;17;27;7;42*16;25;28;41;39*36","7",""
14,2084.4739,1916.0574,2366.0579,";;40;34;19;22;9;35;31*37;33;5;8;21;3;32*15;10;4;7;6;1;38;20;13*30;11;14;44;27;24;26;43*17;18;23;28;41;12*42;16;25;29;2;39*36","7",""
15,2051.134,1901.4462,2317.3667,";;40;34;19;22;9;35;31*37;33;5;8;21;3;32*15;10;4;7;6;1;38;20;13*30;11;14;44;27;24;26;43*17;18;23;28;41*2;42;16;25;12;29*39;36","7",""
16,1997.0806,1862.0671,2276.2715,";;40;34;19;22;9;35;31*37;33;5;8;21;3;32*15;10;4;7;6;1;38;20;13*30;11;14;44;27;24;26;43*17;18;23;28;41;12*42;16;25;2;29;39*36","7",""
17,1957.3103,1862.0671,2151.509,";;40;34;19;22;9;35;31*37;33;5;8;21;3;32*15;10;4;7;6;1;38;20;13*30;11;14;44;27;24;26;43*17;18;23;28;41;12*42;16;25;2;29;39*36","7",""
18,1915.9109,1824.9897,2195.8457,";;40;34;19;22;9;35;31*37;33;41;8;21;3;32*15;10;4;7;6;1;38;20;13*30;11;14;44;27;24;26;43*17;18;23;28;5;12*42;16;25;2;29;39*36","7",""
19,1896.3564,1824.9897,2203.3687,";;40;34;19;22;9;35;31*37;33;41;8;21;3;32*15;10;4;7;6;1;38;20;13*30;11;14;44;27;24;26;43*17;18;23;28;5;12*42;16;25;2;29;39*36","7",""
20,1863.3733,1824.9897,2075.6743,";;40;34;19;22;9;35;31*37;33;41;8;21;3;32*15;10;4;7;6;1;38;20;13*30;11;14;44;27;24;26;43*17;18;23;28;5;12*42;16;25;2;29;39*36","7",""
21,1838.6215,1824.9897,2097.478,";;40;34;19;22;9;35;31*37;33;41;8;21;3;32*15;10;4;7;6;1;38;20;13*30;11;14;44;27;24;26;43*17;18;23;28;5;12*42;16;25;2;29;39*36","7",""
