"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1343.9858"
0,2803.7537,2427.2886,3133.1094,";;16;14;17;29;6*15;13;5;21;8;23*28;1;25;22;4;20;41;24*7;9;27;19;11;3;32;42;35*36;38;39;2*30;40;10;33;31;18;12;43;26*37;34;44","7",""
1,2676.061,2383.6917,3169.4841,";;36;15;22;43;25;20;8;4*29;39;27;33;5;14*11;30;3;16;1;9;18*21;13;24;26;10;28;17*19;34;37;40;7;41*12;2;31;42;32;23;6*38;35;44","7",""
2,2562.1477,2342.4097,2861.7236,";;36;15;22;43;25;20;8;4*29;39;27;33;5;14*11;30;3;16;1;9;18*21;13;24;26;10;28;17*19;34;37;40;7;41*12;2;31;42;32;23;38*35;6;44","7",""
3,2495.0728,2240.0562,2847.3838,";;16;14;17;29;6*15;13;20;33;10;23;28;12;25;8*9;24;1;38;31;43;5;3*30;19;11;21;4*2;27;26;18;32;41*39;40;7;36;42;22;35*37;34;44","7",""
4,2445.4673,2073.836,2853.708,";;1;27;17;29;6;15;13;20;33;10;8*9;42;28;23;30;24*14;38;31;43;5;3*25;19;11;39;4;2*12;26;18;32;41;21*40;7;36;16;22;35*37;34;44","7",""
5,2330.8835,1973.9064,2726.252,";;1;27;17;29;6;15;13;20;33;10;8*9;42;28;23;30;24*14;38;31;43;3;4;21*26;16;5;11;19;34*37;40;7;41;12;2;22*18;32;25;36;39*35;44","7",""
6,2239.9321,1973.9064,2492.41,";;1;27;17;29;6;15;13;20;33;10;8*9;42;28;23;30;24*14;38;31;43;3;4;21*26;16;5;11;19;34*37;40;7;41;12;2;22*18;32;25;36;39*35;44","7",""
7,2175.1257,1954.0417,2427.446,";;1;27;17;29;6;15;13;20;33;10;8*9;42;25;23;28;24*14;38;31;43;5;3*30;19;11;39;4*2;12;26;18;32;41*21;40;7;36;16;22*35;37;34;44","7",""
8,2111.1426,1926.3107,2406.2805,";;1;27;17;29;6;15;13;20;33;10;8*9;42;28;23;30;24*14;38;31;43;3;4;21*26;16;5;11;19;34*37;40;7;41;18;2*39;36;12;25;32;22*35;44","7",""
9,2044.7762,1918.5518,2384.427,";;1;27;17;18;6;15;13;20;33;10;8*9;42;28;23;30;24*14;38;31;43;5;3;26*29;32;7;4;19;34*37;40;11;41;12;2;22*16;21;25;36*39;35;44","7",""
10,2010.0369,1893.402,2382.474,";;1;27;17;29;6;15;13;20;10;33;8*9;42;28;43;30;24;14*38;31;23;3;4;21*26;16;5;11;19;34*37;40;7;41;12;2;22*18;32;25;36;39*35;44","7",""
11,1964.4487,1836.7788,2362.6719,";;1;27;17;29;6;15;13;20;33;10;8*9;42;25;23;18;24*14;38;31;43;5;3*21;26;16;30;11*19;34;37;40;7;41*12;2;22;28;32;4;36*39;35;44","7",""
12,1945.364,1822.6918,2180.6172,";;1;27;17;29;6;15;13;20;10;33;8*9;42;28;43;30;24;14*38;31;23;3;4;21*26;16;5;11;19;34*37;40;7;41;18;2*39;36;12;25;22;32*35;44","7",""
13,1902.1678,1702.9922,2173.7896,";;1;27;17;18;6;15;13;20;33;10;8*9;42;28;23;30;24*14;38;31;43;5;3;26*29;32;7;11;19;34*37;40;21;41;12;2*22;4;16;25;36;39*35;44","7",""
14,1898.9443,1702.9922,2200.5203,";;1;27;17;18;6;15;13;20;33;10;8*9;42;28;23;30;24*14;38;31;43;5;3;26*29;32;7;11;19;34*37;40;21;41;12;2*22;4;16;25;36;39*35;44","7",""
15,1852.4059,1702.9922,2080.93,";;1;27;17;18;6;15;13;20;33;10;8*9;42;28;23;30;24*14;38;31;43;5;3;26*29;32;7;11;19;34*37;40;21;41;12;2*22;4;16;25;36;39*35;44","7",""
16,1811.236,1657.1637,2199.7844,";;1;27;17;18;25;15;13;20;10;33*8;9;42;28;43;30;24;14*38;31;23;5;3;26*29;32;7;11;19;34*37;40;21;41;12;2*22;4;16;6;36;39;35*44","7",""
17,1736.6769,1635.9563,2198.7131,";;1;27;17;18;6;15;13;20;10;33;8*9;42;28;43;30;24;14*38;31;23;5;3;7*29;32;26;11;19;34*37;40;21;41;12;2*22;4;16;25;36;39*35;44","7",""
18,1708.6477,1635.9563,1898.1603,";;1;27;17;18;6;15;13;20;10;33;8*9;42;28;43;30;24;14*38;31;23;5;3;7*29;32;26;11;19;34*37;40;21;41;12;2*22;4;16;25;36;39*35;44","7",""
19,1688.185,1622.2124,2069.2388,";;1;27;17;18;6;15;13;20;33;10;8*9;23;28;43;30;24*14;38;31;42;5;3;26*29;32;7;11;19;34*37;40;21;41;12;2*22;4;16;25;36;39*35;44","7",""
20,1668.5519,1622.2124,1917.0908,";;1;27;17;18;6;15;13;20;33;10;8*9;23;28;43;30;24*14;38;31;42;5;3;26*29;36;7;11;19;34*37;40;21;41;12;2*22;4;16;25;32;39*35;44","7",""
21,1651.6797,1600.7246,1935.9467,";;1;27;17;18;6;15;13;20;10;33;8*9;23;28;43;30;24*14;38;31;42;5;3;26*29;32;7;11;19;34*37;40;21;41;12;2*22;4;16;25;36;39*35;44","7",""
22,1653.9606,1600.7246,1940.6353,";;1;27;17;18;6;15;13;20;10;33;8*9;23;28;43;30;24*14;38;31;42;5;3;26*29;32;7;11;19;34*37;40;21;41;12;2*22;4;16;25;36;39*35;44","7",""
23,1636.2603,1598.4158,1925.0256,";;1;27;17;18;6;15;13;20;10;33;8*9;23;28;43;30;24*14;38;31;42;5;3;26*29;32;7;11;19;34*37;40;21;41;12;2*22;4;16;25;39;36*35;44","7",""
24,1615.9716,1598.4158,1970.5485,";;1;27;17;18;6;15;13;20;10;33;8*9;23;28;43;30;24*14;38;31;42;5;3;26*29;32;7;11;19;34*37;40;21;41;12;2*22;4;16;25;39;36*35;44","7",""
25,1617.8655,1584.0199,1943.1462,";;1;27;17;18;6;15;13;20;10;33;8*9;23;28;43;34;24;14*38;31;42;5;3;26;29*32;7;11;19;30*37;40;21;41;12;2*22;4;16;25;36;39*35;44","7",""
26,1621.1062,1581.711,1924.9946,";;1;27;17;18;6;15;13;20;10;33;8*9;23;28;43;34;24;14*38;31;42;5;3;26;29*32;7;11;19;30*37;40;21;41;12;2*22;4;16;25;39;36*35;44","7",""
27,1620.8248,1576.3145,1932.9891,";;1;27;17;18;6;15;13;20;41*33;8;9;23;28;43;34;24*14;38;31;42;5;3;26*29;32;7;11;19*30;37;40;21;10;12;2*22;4;16;25;36;39*35;44","7",""
28,1612.0011,1574.0056,1853.717,";;1;27;17;18;6;15;13;20;41*33;8;9;23;28;43;34;24*14;38;31;42;5;3;26*29;32;7;11;19*30;37;40;21;10;12;2*22;4;16;25;39;36*35;44","7",""
29,1606.2017,1574.0056,1926.9429,";;1;27;19;18;6;15;13;20;41*33;8;9;23;28;43;34;24*14;38;31;42;5;3;26*29;32;7;11;17*30;37;40;21;10;12;2*22;4;16;25;39;36*35;44","7",""
30,1593.6804,1574.0056,1868.0707,";;1;27;17;18;6;15;13;20;41*33;8;9;23;28;43;34;24*14;38;31;42;5;3;26*29;32;7;11;19*30;37;40;21;10;12;2*22;4;16;25;39;36*35;44","7",""
31,1598.5535,1573.0684,1890.3737,";;1;27;17;18;6;15;13;20;8;33*41;9;23;28;43;34;24*14;38;31;42;5;3;26*29;32;7;11;19*30;37;40;21;10;12;2*22;4;16;25;39;36*35;44","7",""
32,1592.3142,1573.0684,1871.4922,";;1;27;17;18;6;15;13;20;8;33*41;9;23;28;43;34;24*14;38;31;42;5;3;26*29;32;7;11;19*30;37;40;21;10;12;2*22;4;16;25;39;36*35;44","7",""
33,1611.0233,1562.3257,1872.7122,";;1;27;17;18;6;15;13;20;41*33;8;9;23;28;43;34;24*14;31;38;42;5;3;26*29;32;7;11;19*30;37;40;21;10;12;2*22;4;16;25;39;36*35;44","7",""
34,1607.1239,1556.5823,1897.5665,";;1;27;17;18;6;15;13;20;41*33;8;9;23;7;43;34;24*14;31;38;42;5;3;26*29;25;28;11;19*30;37;40;21;10;12;2*22;4;16;32;39;36*35;44","7",""
35,1591.9569,1556.5823,1878.6781,";;1;27;17;18;6;15;13;20;41*33;8;9;23;7;43;34;24*14;31;38;42;5;3;26*29;32;28;11;19*30;37;40;21;10;12;2*22;4;16;25;39;36*35;44","7",""
36,1581.7429,1542.9261,1881.8245,";;1;27;17;18;6;15;13;20;41*33;8;9;23;28;43;34;24*14;38;31;42;5;3;26*29;32;7;37;19*30;11;40;21;10;12;2;22*4;16;25;39;36;35*44","7",""
37,1605.0874,1541.9889,2033.0627,";;1;27;17;18;6;15;13;20;8;33*41;9;23;28;43;34;24*14;38;31;42;5;3;26*29;32;7;37;19*30;11;40;21;10;12;2;22*4;16;25;39;36;35*44","7",""
38,1592.4419,1525.5029,2022.688,";;1;27;17;18;6;15;13;20;41*33;8;9;23;7;43;34;24*14;31;38;42;5;3;26*29;32;28;37;19*30;11;40;21;10;12;2;22*4;16;25;39;36;35*44","7",""
39,1568.0986,1524.5658,1845.7902,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;5;3;26*29;32;28;37;19*30;11;40;21;10;12;2;22*4;16;25;39;36;35*44","7",""
40,1559.875,1523.7291,2148.9282,";;1;27;17;18;6;15;13;20;41*33;8;9;23;7;43;34;24*14;31;38;42;5;3*29;26;32;28;37;19*30;11;40;21;10;12;2;22*4;16;25;39;36;35*44","7",""
41,1548.6475,1492.1132,1853.0367,";;1;27;17;18;6;15;13;20;41*33;8;9;23;7;43;34;24*14;31;38;42;10;3;26;29*32;28;37;19;30;11*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
42,1549.2227,1492.1132,1840.4548,";;1;27;17;18;6;15;13;20;41*33;8;9;23;7;43;34;24*14;31;38;42;10;3;26;29*32;28;37;19;30;11*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
43,1541.8158,1490.3395,1973.4696,";;1;27;17;18;6;15;13;20;41*33;8;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;19;30;11*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
44,1531.2635,1489.4023,1951.9783,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;19;30;11*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
45,1516.9833,1489.4023,1708.8312,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;19;30;11*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
46,1538.9716,1487.223,1906.6414,";;1;27;17;18;6;15;13;20;41*33;8;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
47,1509.1681,1487.223,1842.9618,";;1;27;17;18;6;15;13;20;41*33;8;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
48,1509.2775,1486.2858,1803.2644,";;1;27;17;18;6;15;13;20;8;33*41;25;23;7;43;34*24;14;31;38;42;10;3;29*26;32;28;37;11;30*19;40;21;5;12;2*22;4;16;9;39;36*35;44","7",""
49,1500.7535,1486.2858,1799.9152,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
50,1509.4147,1486.2858,1719.0804,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
51,1500.2415,1486.2858,1828.4386,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
52,1508.0067,1486.2858,1841.6613,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
53,1509.1527,1486.2858,1891.2355,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
54,1510.2876,1486.2858,1871.5797,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
55,1509.6473,1486.2858,1882.1676,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
56,1493.4279,1486.2858,1866.5712,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
57,1505.4742,1486.2858,1931.733,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
58,1508.0603,1486.2858,2004.8269,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;21;5;12;2;22;4*16;25;39;36;35*44","7",""
59,1508.052,1471.2009,1822.9053,";;1;6;17;18;27;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;5;21;12;2;22;4*16;25;39;36;35*44","7",""
60,1513.9165,1471.2009,1825.2926,";;1;27;17;18;6;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;5;21;12;2;22;4*16;25;39;36;35*44","7",""
61,1513.8788,1462.4125,1881.5516,";;1;14;17;18;27;15;13;20;8*33;41;9;23;7;43;34*24;6;31;38;42;10;3;29;26*32;28;37;11;30;19*40;5;21;12;2;22;4*16;25;39;36;35*44","7",""
62,1498.8422,1462.4125,1909.7058,";;1;6;17;18;27;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;5;21;12;2;22;4*16;25;39;36;35*44","7",""
63,1496.268,1462.4125,1794.8701,";;1;6;17;18;27;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;5;21;12;2;22;4*16;25;39;36;35*44","7",""
64,1486.6199,1462.4125,1912.6036,";;1;6;17;18;27;15;13;20;8;33*41;9;23;7;43;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;5;21;12;2;22;4*16;25;39;36;35*44","7",""
65,1484.8683,1447.0149,1774.0931,";;1;6;17;18;43;15;13;20;8;33*41;9;23;7;27;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;5;21;12;2;22;4*16;25;39;36;35*44","7",""
66,1478.0001,1447.0149,1808.0217,";;1;6;17;18;43;15;13;20;8;33*41;9;23;7;27;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;5;21;12;2;22;4*16;25;39;36;35*44","7",""
67,1481.4673,1447.0149,1769.0454,";;1;6;17;18;43;15;13;20;8;33*41;9;23;7;27;34;24*14;31;38;42;10;3;29;26*32;28;37;11;30;19*40;5;21;12;2;22;4*16;25;39;36;35*44","7",""
68,1465.3386,1447.0149,1771.754,";;1;6;17;18;43;15;13;20;8;33*41;9;23;7;27;34*32;14;31;38;42;10;3*29;26;24;28;37;11;30*19;40;5;21;12;2*22;4;16;25;39;36*35;44","7",""
69,1478.5977,1442.5963,1784.9379,";;1;6;17;18;43;15;13;20;8;33*41;9;23;7;27*14;24;34;31;38;42;10;3*29;26;32;28;37;11*30;19;40;5;21*12;2;22;16;4;25*39;36;35;44","7",""
