"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1689.523"
0,2942.946,2537.9653,3262.3435,";;8;40;22;5;19;17;14*20;43;23;9;39;13;46*44;15;2;27;42;26*16;3;36;18;12;11*4;1;35;7;24;10;21;28;30;25*38;6;45;47;33;34*29;37;31;32;41","7",""
1,2817.3,2493.0686,3217.407,";;32;14;24;2;34;46;30;10;33*16;15;35;42;29;17*19;40;37;9;4;1;36*22;7;38;45;3;21*44;41;26;23;6;25;28*47;18;11;13;39*27;8;12;20;31;5;43","7",""
2,2705.145,2307.2417,3215.8877,";;32;14;24;2;34;46;30;10;33*9;15;35;42;29;17*19;40;37;16;4;1;36*22;7;38;45;20;21*3;26;44;23;6;25;28*47;18;11;13;39*27;8;12;41;31;5;43","7",""
3,2641.4468,2289.1003,3212.2588,";;23;40;22;5;1;18;25;39;7*4;27;9;26;42;11*2;45;33;28;8;32;15;37;3*29;44;6;19;35;36;30*34;10;20;13;12;31*38;16;47;21;41;14*24;46;17;43","7",""
4,2576.237,2225.1895,3226.5083,";;23;40;22;5;1;18;25;39;7*4;27;9;26;42;11*2;45;33;28;8;32;15;37*19;29;44;6;3;35;36;30*34;10;20;13;12;31*38;46;24;21;41;14*16;47;17;43","7",""
5,2489.4817,2219.64,2911.1682,";;23;40;22;5;1;18;25;39;7*4;27;9;26;42;11*2;45;33;28;8;32;36;31;3;29*44;6;19;35;15;30;34*10;20;13;12;37*38;46;24;21;41;14*16;47;17;43","7",""
6,2404.2812,2208.0828,2795.4475,";;23;40;22;5;1;18;25;39;7*4;27;9;26;42;11*2;45;33;28;8;32;15;37*19;29;44;6;36;35;3;30*34;10;20;13;12;31*38;46;24;21;41;14*16;47;17;43","7",""
7,2314.0105,2183.1538,2809.7097,";;23;40;22;5;1;18;25;39;7*4;27;9;26;42;11*2;45;33;28;8;32;15;37;3*29;44;6;19;35;36;30*34;10;20;13;12;31*38;46;24;21;41;14*16;47;17;43","7",""
8,2228.2034,2165.4126,2461.1907,";;23;40;22;5;1;18;25;39;7*4;27;9;26;42;11*2;45;33;28;8;32;36;31;3;29*44;6;19;35;15;24;10*21;20;13;12;37*38;46;30;34;41;14;16*47;17;43","7",""
9,2214.7563,2113.1667,2443.0012,";;23;40;22;5;1;18;25;39;7*4;27;9;26;42;11*2;45;33;28;10;32;15;37*19;29;44;6;36;35;3;30*34;8;20;13;12;31*38;46;24;21;41;14*16;47;17;43","7",""
10,2202.5417,2091.7627,2594.1377,";;23;40;22;5;1;18;25;39;7*4;27;9;26;42;11*2;30;33;28;8;32;15;37;3*29;44;6;19;35;36;45*34;10;20;13;12;31*38;46;24;21;41;14*16;47;17;43","7",""
