"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1736.9565"
0,2940.791,2647.0752,3301.3943,";;20;35;3;8;33;4;31;2;30;29*9;34;5;26;13*19;28;17;6;44*27;15;7;43;45;32;1;16;14;23*37;36;25;22;10;41;47*40;24;12;38;18*11;46;42;39;21","7",""
1,2799.059,2530.2205,3227.8418,";;14;19;38;44;22;26;32*28;30;6;9;2;41;10*5;24;11;36;27;3*12;40;20;39;45;31;29;42*13;17;34;15;21;4;43*33;1;47;46;7;35;18;16;8*37;25;23","7",""
2,2727.723,2467.353,3161.9536,";;16;10;41;11;4;2*3;13;21;28;39;23;43;25*18;7;26;27;20;24;33*30;32;42;9;45;8;17;44*38;5;22;1;12;34;29;35*6;36;14;31;47;40*19;46;37;15","7",""
3,2682.7244,2380.063,3087.6323,";;16;15;34;35;26;20;1;3*9;2;10;28;45;21;8;24*11;36;27;5;12;40*42;19;23;14;31;25;37*39;30;33;17;43;6;4;13*47;18;7;22;32;38*46;41;29;44","7",""
4,2605.776,2312.581,3038.3337,";;16;10;41;11;4;2*3;13;21;28;39;23;43;25*18;7;26;27;20;44*19;15;30;24;9;45;8;17*32;38;5;22;1;12;34;29;35*6;36;31;47;14;40;33*46;37;42","7",""
5,2544.3496,2312.581,2986.4192,";;16;10;41;11;4;2*3;13;21;28;39;23;43;25*18;7;26;27;20;44*19;15;30;24;9;45;8;17*32;38;5;22;1;12;34;29;35*6;36;31;47;14;40;33*46;37;42","7",""
6,2454.0515,2262.1436,2813.158,";;16;15;34;35;26;20;1;3*9;2;10;28;45;21*13;24;11;36;27;5*12;6;42;19;23;14;31*25;37;39;30;33;17;43;40;4;8*47;18;7;22;32;41;46*29;38;44","7",""
7,2403.4316,2226.8994,2828.6233,";;16;15;34;35;26;20;1;3*9;2;10;28;45;21*13;24;11;36;27;5*12;40;42;19;23;14;31;25*37;39;30;33;17;43;6;4;8*47;18;7;22;32;38*46;29;41;44","7",""
8,2398.709,2226.8994,2870.5398,";;16;15;34;35;26;20;1;3*9;2;10;28;45;21*13;24;11;36;27;5*12;40;42;19;23;14;31;25*37;39;30;33;17;43;6;4;8*47;18;7;22;32;38*46;29;41;44","7",""
9,2424.923,2226.8994,2902.9097,";;16;15;34;35;26;20;1;3*9;2;10;28;11*21;13;24;45;36;27;5*12;40;42;19;23;14;31;25*37;39;30;33;17;43;6;4;8*47;18;7;22;32;38*46;29;41;44","7",""
10,2366.365,2226.8994,2845.4832,";;16;15;34;35;26;20;1;3*9;2;10;28;45;21*13;24;11;36;27;5*12;40;42;19;23;14;31;25*37;39;30;33;17;43;6;4;8*47;18;7;22;32;38*46;29;41;44","7",""
11,2248.7095,2195.5266,2536.383,";;16;15;34;35;26;20;1;3*42;2;10;28;45;21*13;24;11;36;27;5*12;40;9;19;23;14;31*25;37;39;30;33;17;43;6*4;8;47;18;7;22;32;38*46;29;41;44","7",""
12,2263.2136,2195.5266,2724.444,";;16;15;34;35;26;20;1;3*42;2;10;28;45;21*13;24;11;36;27;5*12;40;9;19;23;14;31*25;37;39;30;33;17;43;6*4;8;47;18;7;22;32;38*46;29;41;44","7",""
13,2213.8901,2182.3882,2438.8237,";;16;15;34;35;26;20;1;3*42;2;10;28;45;21*13;24;11;36;27;5*12;40;9;32;23;14;31;25*37;39;30;33;17;43;6;4;8*47;18;7;22;19*38;46;29;41;44","7",""
14,2212.1895,2172.0103,2513.9868,";;16;15;34;35;26;20;1;39*42;2;10;28;45;21*13;24;11;36;27;5*12;40;9;32;23;14;31;25*37;3;30;33;17;43;6;4*8;47;18;7;22;19*38;46;29;41;44","7",""
15,2208.2554,2168.673,2663.3818,";;16;15;34;35;13;20;1;22*39;2;10;28;45;21;26*24;11;36;27;5;12*40;9;32;23;14;31;25;37*42;30;33;17;43;6;4;8;47*18;7;3;19;38*46;29;41;44","7",""
16,2189.5195,2168.673,2483.452,";;16;15;34;35;26;20;1;22*42;2;10;28;45;21*13;24;11;36;27;5*12;40;9;32;23;14;31;25*37;39;30;33;17;43;6;4;8*47;18;7;3;19*38;46;29;41;44","7",""
17,2182.9282,2159.2434,2487.7603,";;16;15;34;35;26;20;1;22*42;2;10;28;45;21*13;24;11;36;27;5*12;23;9;32;40;14;31;25*37;39;30;33;17;43;6;4;8*47;18;7;3;19*38;46;29;41;44","7",""
18,2186.1877,2159.2434,2505.7615,";;16;15;34;35;26;20;1;22*42;2;10;28;45;21*13;24;11;36;27;5*12;23;9;32;40;14;31;25*37;39;30;33;17;43;6;4;8*47;18;7;3;19*38;46;29;41;44","7",""
