"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1738.9086"
0,2942.3066,2503.4827,3298.2856,";;34;20;44;19;14;1*2;29;36;40;9;26*42;13;27;28;16*11;37;12;23;33;45*17;35;18;5;24;30;21;47*38;4;39;6;3;25;46;8*22;31;43;32;15;10;7;41","7",""
1,2826.3293,2370.6663,3222.1155,";;44;23;18;12;6;14;10;39*22;36;7;13;24;27*9;30;43;38;20;46;1*19;26;8;40;28;45;33*11;42;3;29;5;31*37;2;17;16*47;34;4;21;15;35;32;25;41","7",""
2,2709.2434,2370.6663,3086.409,";;44;23;18;12;6;14;10;39*22;36;7;13;24;27*9;30;43;38;20;46;1*19;26;8;40;28;45;33*11;42;3;29;5;31*37;2;17;16*47;34;4;21;15;35;32;25;41","7",""
3,2625.1028,2370.6663,3127.0586,";;44;23;18;12;6;14;10;39*22;36;7;13;24;27*9;30;43;38;20;46;1*19;26;8;40;28;45;33*11;42;3;29;5;31*37;2;17;16*47;34;4;21;15;35;32;25;41","7",""
4,2548.103,2299.4343,2886.51,";;44;23;18;12;6;14;10;39*22;36;7;13;24;27*9;30;43;38;20;46;1*19;26;8;40;28;45*17;31;5;25;11;29*3;37;2;33;16;47*34;4;21;15;35;32;42;41","7",""
5,2451.7124,2249.678,2726.847,";;44;23;18;12;6;14;10;39*22;36;7;13;24;27*9;34;15;38;20*46;1;19;26;8;40;28;45;33*11;42;3;29;35;31*37;2;17;16*47;30;4;21;5;41;32;25;43","7",""
6,2366.2905,2155.707,2710.5488,";;44;23;18;12;6;14;10;39*22;36;7;13;24;27*9;30;15;38;20;46;1*19;26;8;40;28;45*17;31;5;25;11;29*3;37;2;33;16;47*34;4;21;43;35;32;42;41","7",""
7,2318.2654,2095.4573,2847.9011,";;44;23;18;12;6;14;10;39*22;36;7;13;24;27*9;30;15;38;20;46;1*19;26;8;40;28;45*17;31;5;25;11;29*3;37;2;33;16;47*34;4;21;42;35;32;43;41","7",""
8,2254.9087,2095.4573,2461.0408,";;44;23;18;12;6;14;10;39*22;36;7;13;24;27*9;30;15;38;20;46;1*19;26;8;40;28;45*17;31;5;25;11;29*3;37;2;33;16;47*34;4;21;42;35;32;43;41","7",""
9,2201.7527,2095.4573,2655.0417,";;44;23;18;12;6;14;10;39*22;36;7;13;24;27*9;30;15;38;20;46;1*19;26;8;40;28;45*17;31;5;25;11;29*3;37;2;33;16;47*34;4;21;42;35;32;43;41","7",""
10,2144.265,2095.4573,2667.4607,";;44;23;18;12;6;14;10;39*22;36;7;13;24;27*9;30;15;38;20;46;1*19;26;8;40;28;45*17;31;5;25;11;29*3;37;2;33;16;47*34;4;21;42;35;32;43;41","7",""
