"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1528.1855"
0,2899.6003,2531.9321,3276.7112,";;13;1;26;42;25;38*2;6;31;39;10;30;35;3*28;19;43;23;8;15;40;24;29*18;21;33;9;11;14*46;27;34;37;16*47;17;41;44;4;20*7;36;45;32;22;5;12","7",""
1,2787.9014,2502.1096,3126.8132,";;3;27;14;28;38;5*2;6;39;37;19*24;1;8;20;45;36;18;11*21;9;29;44;23;43;10;33;42*40;15;30;22;7;25;41;16*12;35;26;34;46;4;13*17;47;32;31","7",""
2,2710.9165,2442.4128,3260.2239,";;44;27;19;15;30;8;38;25*22;31;3;33;16;18;6*5;13;42;26;10;20*11;36;28;23;17;14*7;2;4;40;34;21*37;9;32;12;1;41;47;29;35*43;46;24;39;45","7",""
3,2649.0466,2372.3916,3298.1624,";;34;2;3;22;17;44*24;12;31;26;43;6;5;1;33*9;46;30;16;32;7;14*18;23;21;10;45;42;40;15*28;8;36;25;41;29;11;35*20;13;4;27;47;39*19;38;37","7",""
4,2567.9753,2372.3916,2835.7039,";;34;2;3;22;17;44*45;12;31;26;43;6;5;1;33*9;46;30;16;32;7;14*18;23;21;10;24;42;40;15*28;8;36;25;41;29;11;35*20;13;4;27;47;39*19;38;37","7",""
5,2531.5828,2329.0688,2990.9426,";;44;27;19;15;30;8;38;25*5;31;3;33;16;18;6*22;13;42;26;10;20*11;36;28;23;17;14*7;40;2;4;21;34*9;41;32;12;1;37;47;29;35*43;46;24;39;45","7",""
6,2474.915,2267.1436,2973.526,";;34;2;3;22;17;44*38;25;12;31;43;6;5;1;33*9;46;30;16;32;7;14*18;23;21;10;24;42;40;15*28;8;36;45;41;29;11;20*37;13;4;27;47;39*19;26;35","7",""
7,2437.097,2267.1436,2848.452,";;34;2;3;22;17;44*38;25;12;31;43;6;5;1;33*9;46;30;16;32;7;14*18;23;21;10;24;42;40;15*28;8;36;45;41;29;11;20*37;13;4;27;47;39*19;26;35","7",""
8,2414.8877,2267.1436,2895.1768,";;34;2;3;22;17;44*38;25;12;31;43;6;5;1;33*9;46;30;16;32;7;14*18;23;21;10;24;42;40;15*28;8;36;45;41;29;11;20*37;13;4;27;47;39*19;26;35","7",""
9,2383.6714,2251.7097,2782.2847,";;34;30;3;22;17;44*38;25;12;31;43;6;5;1;33*9;46;2;16;32;7*14;18;23;21;10;24;42;40*15;28;8;36;45;41;35;11*13;20;4;27;29;47;39*19;26;37","7",""
10,2332.2393,2232.2944,2796.01,";;34;2;3;22;17;44*38;25;12;31;43;6;5;1;33*9;46;30;16;32;7;14*18;23;21;10;24;42;40;15*28;8;36;45;41;29;11;20*37;13;4;27;47;35*19;39;26","7",""
11,2291.0876,2221.0583,2496.399,";;34;2;3;22;7;44*38;25;12;31;43;6;5;1;33*9;46;30;16;32;17;14*18;23;21;10;24;42;40;15*28;8;36;45;41;29;11;20*37;13;4;27;47;35*19;39;26","7",""
12,2266.4775,2187.773,2443.246,";;34;2;3;22;17;44*38;25;12;31;43;6;5;1;33*9;46;30;16;32;7;14*18;23;21;10;24;4;40;15*28;8;36;45;41;29;11;20*37;42;13;27;47;35*19;26;39","7",""
13,2241.9507,2097.2378,2469.1477,";;34;2;3;22;17;44*45;12;31;23;43;6;5;1;33;9*46;30;26;32;7;14;18*16;21;10;24;42;40;15*28;8;36;35;41;29;11;25*20;13;4;27;47;38*19;37;39","7",""
14,2221.0137,2088.35,2570.717,";;34;27;3;22;17;44;45*12;31;23;43;6;5;1;33;9*46;30;16;32;7;14;18*28;21;10;24;42;40;15*11;8;36;26;41;29;35;25*20;13;4;2;47*38;19;37;39","7",""
15,2204.9448,2020.2705,2588.2712,";;34;27;3;22;17;44;45*12;31;23;43;6;5;1;33;9*46;30;16;32;7;14;18*26;21;10;24;42;38;15*28;8;36;35;41;25;11;13*20;4;29;2;47;40*19;37;39","7",""
16,2126.6392,1956.9807,2398.1172,";;34;27;3;22;17;44;45*12;31;23;43;6;5;1;33;9*46;30;16;32;7;14;18*28;21;10;24;42;40;15*26;8;36;35;41;29;11;25*20;13;4;2;47*38;19;37;39","7",""
17,2074.1428,1956.9807,2554.0798,";;34;27;3;22;17;44;45*12;31;23;43;6;5;1;33;9*46;30;16;32;7;14;18*28;21;10;24;42;40;15*26;8;36;35;41;29;11;25*20;13;4;2;47*38;19;37;39","7",""
18,1996.9537,1919.775,2245.1912,";;34;27;3;22;17;44;45*12;31;23;43;6;5;1;33;9*46;30;16;32;7;14;18*28;21;10;24;42;40;15*26;8;36;35;41;25;11;13*20;4;29;2;47;38*19;37;39","7",""
19,1980.5736,1901.3263,2610.489,";;34;27;3;22;17;44;45*12;31;23;43;6;5;1;33;9*46;30;16;32;7;14;18*28;21;10;24;42;40;15*26;8;36;35;41;25;20;29*11;13;4;2;47*38;19;37;39","7",""
20,1968.625,1847.7803,2424.7542,";;34;27;3;22;17;44;45*12;31;23;43;6;5;1;33;9*46;30;16;32;7;14;18*28;21;10;24;42;40;15*26;8;39;35;41;25;20;29;11*13;4;2;47;38*19;37;36","7",""
21,1938.2091,1847.7803,2181.514,";;34;27;3;22;17;44;45*12;31;23;43;6;5;1;33;9*46;30;16;32;7;14;18*28;21;10;24;42;40;15*26;8;39;35;41;25;20;29;11*13;4;2;47;38*19;37;36","7",""
