"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1778.4939"
0,2952.1262,2552.2449,3334.1365,";;11;20;30;44;32;24;15*13;21;34;6;8;12*17;16;29;2;42;14;4*25;10;18;1;22;7;3;9*28;23;40;27;26;45;39;31;41*5;19;37;38;43;33;35*36;46;47","7",""
1,2792.798,2390.3655,3137.4324,";;44;39;17;26;30;20;41*2;46;4;9;15;8;14;33*19;3;40;35;32;7;28*22;12;18;6;5;36*13;16;34;1;43;27;38*31;37;23;25;10;21;29;24;45*47;42;11","7",""
2,2683.9924,2390.3655,3171.9487,";;44;39;17;26;30;20;41*2;46;4;9;15;8;14;33*19;3;40;35;32;7;28*22;12;18;6;5;36*13;16;34;1;43;27;38*31;37;23;25;10;21;29;24;45*47;42;11","7",""
3,2612.4976,2390.3655,3198.3608,";;44;39;17;26;30;20;41*2;46;4;9;15;8;14;33*19;3;40;35;32;7;28*22;12;18;6;5;36*13;16;34;1;43;27;38*31;37;23;25;10;21;29;24;45*47;42;11","7",""
4,2529.2498,2308.6787,3004.9336,";;11;20;30;44;32;17;41*2;46;4;9;15;8;14;33*19;3;40;35;23;7*28;22;12;18;6;5;36*13;16;34;1;43;27;38*31;37;47;10;25;21;29*24;39;42;26;45","7",""
5,2451.3938,2308.6787,2936.683,";;11;20;30;44;32;17;41*2;46;4;9;15;8;14;33*19;3;40;35;23;7*28;22;12;18;6;5;36*13;16;34;1;43;27;38*31;37;47;10;25;21;29*24;39;42;26;45","7",""
6,2385.8655,2284.8352,2599.9421,";;11;20;30;44;32;17;41*2;46;4;9;15;8;14;33*19;3;40;35;23;7*28;22;12;18;6;5;36*16;13;34;1;43;27;38*31;37;47;10;25;21;29*24;39;42;26;45","7",""
7,2356.0913,2236.3132,2558.6328,";;11;20;30;44;32;17;41*2;46;4;9;15;8;14;33*19;3;40;35;23;7*28;22;12;18;6;5;36*13;16;34;1;43;45;10;21*27;47;37;25;38;29*24;39;42;26;31","7",""
8,2316.7273,2236.3132,2525.4968,";;11;20;30;44;32;17;41*2;46;4;9;15;8;14;33*19;3;40;35;23;7*28;22;12;18;6;5;36*13;16;34;1;43;45;10;21*27;47;37;25;38;29*24;39;42;26;31","7",""
9,2289.137,2191.2485,2520.0208,";;11;13;30;26;32;17*41;2;46;4;9;15;8;14;33*19;3;40;35;23;7*28;22;12;18;6;5;36*20;16;34;1;43;45;10;21*27;47;37;25;38;29*24;39;42;44;31","7",""
10,2277.89,2191.2485,2538.2,";;11;13;30;26;32;17*41;2;46;4;9;15;8;14;33*19;3;40;35;23;7*28;22;12;18;6;5;36*20;16;34;1;43;45;10;21*27;47;37;25;38;29*24;39;42;44;31","7",""
11,2230.151,2177.8865,2447.9575,";;11;13;30;44;32;17;41*2;46;4;9;15;8;14;33*19;3;40;35;23;12;28;22*7;18;6;5;36*20;16;34;1;43;45;10;21*27;47;37;25;38;29*24;39;42;26;31","7",""
12,2209.3665,2161.7393,2575.1702,";;11;20;30;26;32;17;41*2;46;4;9;15;8;14;33;28*3;40;35;23;7;19;22*12;18;6;5;36;13*16;34;1;43;45;10;21;27*47;37;25;38;29;24*39;42;44;31","7",""
13,2200.651,2161.7393,2538.6138,";;11;20;30;26;32;17;41*2;46;4;9;15;8;14;33;28*3;40;35;23;7;19;22*12;18;6;5;36;13*16;34;1;43;45;10;21;27*47;37;25;38;29;24*39;42;44;31","7",""
14,2192.7332,2114.1953,2510.918,";;11;13;30;26;32;17*41;2;46;4;9;15;8;14;33*28;3;40;35;23;12;19;22*7;18;6;5;36*20;16;34;1;43;45;10;21*27;47;37;25;38;29*24;39;42;44;31","7",""
15,2183.6387,2086.2593,2424.7778,";;11;13;30;44;32;17;41*2;46;4;9;15;8;20;33*28;3;40;35;23;7*19;22;12;18;6;5*36;14;16;34;1;43;45;10;21*27;47;37;25;38;29*24;39;42;26;31","7",""
16,2135.4446,2085.4077,2411.8955,";;11;13;30;26;32;17*41;2;46;4;9;15;8;14*27;28;3;40;35;23;12*19;22;7;18;6*5;36;20;16;34;1;43;45;10*21;33;47;37;25;38;29*24;39;42;44;31","7",""
17,2127.7075,2024.44,2428.373,";;11;13;30;44;32;17;41*2;46;4;9;15;8;20;33*28;3;40;35;23;7*19;22;12;18;6;5*36;14;16;31;1;43;45;10;21;27*47;37;25;38;29;24*39;42;26;34","7",""
18,2118.8457,2024.44,2437.2476,";;11;13;30;44;32;17;41*2;46;4;9;15;8;20;33*28;3;40;35;23;7*19;22;12;18;6;5*36;14;16;31;1;43;45;10;21;27*47;37;25;38;29;24*39;42;26;34","7",""
19,2088.4092,2017.6477,2310.8745,";;11;13;30;44;32;17;41*2;46;4;9;15;16;14;33*28;3;40;35;23;12;19;22*7;18;6;5;36*20;8;31;1;43;45;10;21;27;47*37;25;38;29;24;39;42*26;34","7",""
20,2048.422,1978.7461,2208.495,";;11;13;30;44;32;17;41*2;46;4;9;15;25;27;14*28;3;40;35;18;7*19;22;12;23;6;5;36*20;16;31;1;43;45;10;21;33;47*37;8;38;29;24;39;42*26;34","7",""
21,2025.2122,1978.7461,2187.663,";;11;13;30;44;32;17;41*2;46;4;9;15;8;14;27*28;3;40;35;18;7*19;22;12;23;6;5;36*20;16;31;1;43;45;10;21;33;47*37;25;38;29;24;39;42*26;34","7",""
22,2031.7094,1963.4661,2442.903,";;11;13;30;44;32;17;41*2;46;4;9;15;8;20;33*28;3;40;35;23;7*19;22;16;18;31;1;36;14*12;6;5;43;45;10;21;27*47;37;25;38;29;24*39;42;26;34","7",""
23,2018.98,1944.0518,2268.933,";;11;13;30;44;32;17;41*2;46;4;9;15;8;20;27*28;3;40;35;18;7*19;22;12;23;6;5;36*14;16;31;1;43;45;10;21;33;47*37;25;38;29;24;39;42*26;34","7",""
24,1996.51,1944.0518,2233.5815,";;11;13;30;44;32;17;41*2;46;4;9;15;8;20;27*28;3;40;35;18;7*19;22;12;23;6;5;36*14;16;31;1;43;45;10;21;33;47*37;25;38;29;24;39;42*26;34","7",""
25,2016.4838,1912.495,2424.7273,";;11;13;30;32;44;17;41*2;46;4;9;15;8;20;27*38;3;40;35;18;7*19;22;12;23;6;5;36*14;16;31;1;43;45;10;21;33;47*37;25;28;29;24;39;42*26;34","7",""
26,1976.1577,1912.495,2466.5881,";;11;13;30;32;44;17;41*2;46;4;9;15;8;20;27*38;3;40;35;18;7*19;22;12;23;6;5;36*14;16;31;1;43;45;10;21;33;47*37;25;28;29;24;39;42*26;34","7",""
27,1957.1364,1912.495,2336.7197,";;11;13;30;32;44;17;41*2;46;4;9;15;8;20;27*38;3;40;35;18;7*19;22;12;23;6;5;36*14;16;31;1;43;45;10;21;33;47*37;25;28;29;24;39;42*26;34","7",""
28,1923.8331,1864.8668,2279.562,";;11;13;30;32;44;17;41*2;46;4;9;15;8;20*28;38;3;40;35;18*7;19;22;12;23;6*5;36;14;16;31;1;43;45;10;21;33*47;37;25;27;29;24;39*42;26;34","7",""
29,1915.1205,1864.8668,2214.216,";;11;13;30;32;44;17;41*2;46;4;9;15;8;20*28;38;3;40;35;18*7;19;22;12;23;6*5;36;14;16;31;1;43;45;10;21;33*47;37;25;27;29;24;39*42;26;34","7",""
30,1914.3579,1863.069,2317.469,";;11;13;30;32;44;17*3;2;46;4;9;15;8*20;28;38;41;40;35;18*7;25;22;12;23;6;5*36;14;16;31;1;43;45;10;21;33*47;37;19;27;29;24*39;42;26;34","7",""
31,1902.5082,1858.6561,2250.788,";;11;13;30;32;44;17;41*2;46;4;20;15;8;9*28;38;3;47;35;18*7;25;22;12;23;6;5*36;14;16;31;1;43;45;10;21;33*40;37;19;27;29;24*39;42;26;34","7",""
32,1899.659,1858.6561,2262.4595,";;11;13;30;32;44;17;45*2;46;4;20;15;8;9*28;38;3;40;35;18*7;25;22;12;23;6;5*36;14;16;31;1;43;41;10;21;33*47;37;19;27;29;24*39;42;26;34","7",""
33,1881.2975,1858.6561,2156.9456,";;11;13;30;32;44;17;41*2;46;4;20;15;8;9*28;38;3;40;35;18*7;25;22;12;23;6;5*36;14;16;31;1;43;45;10;21;33*47;37;19;27;29;24*39;42;26;34","7",""
34,1878.2233,1858.6561,2142.4143,";;11;13;30;32;44;17;41*2;46;4;20;15;8;9*28;38;3;40;35;18*7;25;22;12;23;6;5*36;14;16;31;1;43;45;10;21;33*47;37;19;27;29;24*39;42;26;34","7",""
35,1877.7258,1828.858,2193.6301,";;11;13;30;32;44;17;41*14;46;4;20;15;8;9;28*38;3;40;35;18;7*25;22;12;23;6;5;36*2;16;31;1;43;45;10;21;33*47;37;19;27;29;24*39;42;26;34","7",""
36,1869.7527,1828.858,2192.4949,";;11;13;30;32;44;17;41*14;46;4;20;15;8;9;28*38;3;40;35;18;7*25;22;12;23;6;5;36*2;16;31;1;43;45;10;21;33*47;37;19;27;29;24*39;42;26;34","7",""
37,1866.4158,1828.858,2113.4172,";;11;13;30;32;44;17;41*14;46;4;20;15;8;9;28*38;3;40;35;18;7*25;22;12;23;6;5;36*2;16;31;1;43;45;10;21;33*47;37;19;27;29;24*39;42;26;34","7",""
38,1865.4977,1827.8757,2265.032,";;11;13;30;32;44;17;41*14;46;4;20;15;8;9;28*38;3;40;35;18;7*25;22;12;23;6;5;36*2;16;31;1;43;45;10;21;33*47;37;19;27;29;24*26;42;39;34","7",""
39,1844.4993,1820.4922,2162.8997,";;11;13;30;32;44;17;41*14;46;4;20;15;8;9;28;25*3;40;35;18;7;38*22;12;23;6;5;36;2*16;31;1;43;45;10;21;33;47*37;19;27;29;24;39*42;26;34","7",""
40,1849.5376,1819.4514,2064.6904,";;11;13;30;32;44;17;41*14;46;4;20;15;8;9;28*38;3;40;35;18;7*25;22;12;43;6;5;36;2*16;31;1;23;45;10;21;33;47*37;19;27;29;24;39*42;26;34","7",""
41,1861.8403,1818.4691,2401.3926,";;11;13;30;32;44;17;41*14;46;4;20;15;8;9;28*38;3;40;35;18;7*25;22;12;43;6;5;36;2*16;31;1;23;45;10;21;33;47*37;19;27;29;24;26*42;39;34","7",""
42,1872.5765,1810.1033,2459.949,";;11;13;30;32;44;17;41*14;46;4;20;15;8;9;28;25*3;40;35;18;7;38*22;12;43;6;5;33;2;16*31;1;23;45;10;21;36;47*37;19;27;29;24;26*42;39;34","7",""
