"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1537.1683"
0,2958.7698,2603.6023,3367.5188,";;39;35;12;17;9;30;4;6*37;3;23;18;15;21;46;1*44;28;29;14;5;24;20;45*2;8;42;25;34;11*40;31;19;38;22*13;41;43;32;16;7;33;10*47;26;36;27","7",""
1,2819.3894,2499.1584,3159.862,";;38;34;22;43;1;4;28;45;8*37;15;41;12;11;30*13;7;9;46;27*3;6;21;5;25;31;23;35*42;39;24;2;26;16*18;19;20;17;47*40;14;32;10;33;29;36;44","7",""
2,2752.232,2499.1584,3122.5972,";;38;34;22;43;1;4;28;45;8*37;15;41;12;11;30*13;7;9;46;27*3;6;21;5;25;31;23;35*42;39;24;2;26;16*18;19;20;17;47*40;14;32;10;33;29;36;44","7",""
3,2686.386,2418.777,3105.3613,";;39;35;12;17;9;30;4;6*37;3;23;18;15;21;46;1*44;5;2;45;11;24*20;28;14;8;42;25;34;29*40;31;19;38;22;43;32;41*13;16;7;33;10;47*26;36;27","7",""
4,2608.267,2350.111,3155.0305,";;39;35;12;17;9;30;4;6*37;3;23;18;15;21;46;1*44;5;2;45;11;24*20;28;14;8;42;25;34;29*40;31;19;7;26;43;32*41;13;22;38;47;10;33*16;36;27","7",""
5,2563.1143,2310.8623,2987.6755,";;23;36;3;20;2;4;19;32*14;29;40;46;42;11*28;9;15;25;8;37;35;18*21;5;6;31;1;10;13;30*26;41;12;7;34;43;22*27;39;33;24;17;45;47*16;44;38","7",""
6,2488.125,2249.7332,2934.5486,";;23;36;3;20;2;4;19;32*14;29;40;46;42;11*28;9;15;25;8;37;35;18*21;5;6;31;1;10;13;30*26;27;7;38;22;43*12;41;34;33;24;17;45*47;16;44;39","7",""
7,2442.9233,2238.014,2987.0784,";;23;36;3;20;2;4;19;32*14;29;40;46;42;11*28;9;15;25;8;37;35;18*21;5;6;31;1;10;13;30*26;27;7;38;22;43*12;41;33;34;24;17;45*47;16;44;39","7",""
8,2373.8447,2238.014,2712.0105,";;23;36;3;20;2;4;19;32*14;29;40;46;42;11*28;9;15;25;8;37;35;18*21;5;6;31;1;10;13;30*26;27;7;38;22;43*12;41;33;34;24;17;45*47;16;44;39","7",""
9,2341.1885,2202.69,2860.963,";;23;36;3;20;2;4;19;32*14;29;40;46;42;11*28;9;15;25;8;37;35;18*21;5;6;31;1;10;13;30*26;27;7;38;22;43*12;41;33;34;24;17;45*44;47;16;39","7",""
10,2261.1672,2103.442,2652.6294,";;23;36;3;20;24;4;19;32;14*29;40;46;42;11;28*9;15;25;8;37;35;18;21*5;6;31;1;10;13;30;26*27;7;38;22;43;12;41;33*34;2;17;45;47*16;44;39","7",""
11,2220.695,2054.8633,2449.5354,";;23;36;3;20;2;4;19;32*14;29;21;46;42;11*28;9;15;25;8;37;35;18*40;5;6;31;1;10;13;30*26;27;7;38;22;43*12;41;33;34;24;17;45*47;16;44;39","7",""
12,2197.1885,1973.0757,2518.7168,";;23;36;3;20;2;4;19;32*14;29;21;46;42;11*28;9;15;25;8;37;35;18*40;5;6;31;1;17*13;30;26;27;7;38*22;43;12;41;33;34;24;10;45*47;16;44;39","7",""
13,2134.1426,1869.9138,2326.0571,";;23;36;3;20;24;4;19;32;14*29;21;46;42;11;28*9;15;25;8;47;35;18;40*5;6;31;1;10;13;30;26*27;7;38;22;43;12;41*39;33;2;17;45;37*16;34;44","7",""
14,2062.4697,1869.9138,2261.115,";;23;36;3;20;24;4;19;32;14*29;21;46;42;11;28*9;15;25;8;37;35;18;40*5;6;31;1;10;13;30;26*27;7;38;22;43;12;41*39;33;2;17;45;47;16*34;44","7",""
15,2005.6033,1869.9138,2330.1467,";;23;36;3;20;24;4;19;32;14*29;21;46;42;11;28*9;15;25;8;37;35;18;40*5;6;31;1;10;13;30;26*27;7;38;22;43;12;41*39;33;2;17;45;47;16*34;44","7",""
