"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1709.2527"
0,2961.97,2524.554,3382.6106,";;44;43;31;1;5;4;8;38;35;39*17;20;33;36;2;24;14*22;12;11;16;10;15*34;28;6;32;18;37*13;30;40;19;26;23;25*3;9;41;45;27;7;42*29;21;46;47","7",""
1,2787.1956,2450.5183,3221.4001,";;7;20;26;17;40*19;43;44;10;11;4;31;1*5;46;37;39;6;16*34;38;30;33;2;3;35;27*22;47;9;8;18;45;28;24*29;32;12;23;21;42;13;14;25*36;15;41","7",""
2,2664.625,2423.376,3119.2227,";;7;20;26;17;40*19;43;44;10;11;4;31;1*5;46;37;39;6;23*16;38;30;33;2;3;35;27*22;47;9;8;18;45;28;24*29;32;12;34;21;42;13*14;25;36;15;41","7",""
3,2573.882,2356.812,2940.0935,";;7;20;26;17;40*19;43;6;13;1;22;32;29*28;3;38;25;21;2*36;16;4;15;5;10;35;14;18*31;9;27;8;45;34;24;30;33;12*44;37;47;23;46;39;42*11;41","7",""
4,2515.047,2311.3372,2926.8394,";;7;20;26;17;40*19;43;44;10;11;4;31;1*5;46;37;39;6;23*16;29;3;15;21;2;35;14*18;13;9;27;8;45;34*24;30;33;12;25;22;47;28*38;42;36;32;41","7",""
5,2456.1643,2311.3372,2788.762,";;7;20;26;17;40*19;43;44;10;11;4;31;1*5;46;37;39;6;23*16;29;3;15;21;2;35;14*18;13;9;27;8;45;34*24;30;33;12;25;22;47;28*38;42;36;32;41","7",""
6,2417.5771,2252.249,2830.0159,";;7;20;26;17;40*19;43;44;10;11;4;31;1*5;46;37;39;6;23*16;29;3;15;21;2;35;14*18;13;9;27;8;45;34*24;30;33;12;25;22;47;28;42*38;36;32;41","7",""
7,2353.9954,2203.1514,2736.2585,";;7;20;26;17;40*3;43;44;10;11;4;31;1;5*46;42;19;6;23;16*29;39;15;21;2;35;14;18*13;9;27;8;45;34;24;30;33*12;25;22;47;28;38*37;36;32;41","7",""
8,2318.3823,2177.2087,2774.9197,";;7;20;26;17;40*28;43;44;10;11;4;31;1;5*46;42;19;6;23;16*29;39;15;21;2;35;14;18*13;9;27;8;45;34;24;30;33*12;25;22;47;3;37*38;36;32;41","7",""
9,2273.1226,2160.6323,2670.3457,";;7;20;26;17;40*19;43;44;10;11;4;31;1*5;46;42;37;6;23*16;29;3;15;21;2;35;14*18;13;9;27;8;45;12*24;30;33;34;25;22;39;41;28*47;36;32;38","7",""
10,2216.167,2157.2822,2412.3784,";;7;20;26;17;40*3;43;44;10;11;21;31*12;5;46;42;19;6*23;16;29;39;15;4;2;35;14*18;13;9;27;8;45;34*24;30;33;38;25;22;47;28;1*37;36;32;41","7",""
11,2194.817,2119.4775,2545.7922,";;7;15;26;17;40*3;43;44;10;11;21;31;1*5;46;42;37;6;23*16;29;39;20;4;2;35;14*18;13;9;27;8;45;34*24;30;33;19;25;22;47;28*12;38;36;32;41","7",""
12,2186.035,2095.4197,2483.8206,";;7;20;26;17;40*19;43;44;10;11;4;31;1*5;46;42;37;6;23*16;29;3;15;21;2;35;14*18;13;9;27;8;45;12*24;30;33;38;25;22;47;28;39*34;36;32;41","7",""
13,2169.5305,2074.1758,2634.6985,";;7;15;26;17;40;22*43;44;10;11;21;31;12*5;46;42;37;6;23*16;29;39;20;4;2;35;14*18;13;9;27;8;45;34*24;30;33;38;25;3;47;28;1*19;36;32;41","7",""
14,2146.43,2045.0378,2632.5842,";;7;20;26;17;40*3;43;44;10;11;21;31*12;5;46;42;1;6;23;16*29;27;15;4;2;35;41;18*13;9;39;8;45;34;24;30;33*28;25;22;47;19;37*38;36;32;14","7",""
15,2135.131,2018.9291,2758.2412,";;7;20;26;17;40*19;43;44;10;11;21;31*12;5;46;42;1;6;23;16*29;39;15;4;2;35;14;18*13;9;27;8;45;34;24;30;33*38;25;22;47;28;37*3;36;32;41","7",""
16,2086.381,2017.1945,2329.9324,";;7;20;26;17;40*19;43;44;10;11;21;31*12;5;46;42;1;6;23;16*29;39;15;4;2;35;14;18*13;9;27;8;45;34;24;30;33*28;25;22;47;37;3*38;36;32;41","7",""
17,2054.5874,1977.474,2307.2158,";;7;20;26;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;27;15;4;2;35;41*18;13;9;39;8;45;34*24;30;33;28;25;22;47;3*37;38;36;32;14","7",""
18,2068.1338,1975.4694,2606.818,";;7;20;26;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;39;15;4;2;35;14;18*13;9;27;8;45;34;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
19,2033.9209,1975.4694,2690.3516,";;7;20;26;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;39;15;4;2;35;14;18*13;9;27;8;45;34;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
20,2027.8536,1964.0353,2664.5662,";;7;20;26;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;39;15;4;2;35;14;45*13;9;27;8;18;34*24;30;33;38;25;22;47;28*3;37;36;32;41","7",""
21,2020.1871,1964.0353,2306.557,";;7;20;26;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;39;15;4;2;35;14;45*13;9;27;8;18;34*24;30;33;38;25;22;47;28*3;37;36;32;41","7",""
22,2002.8306,1958.9745,2480.053,";;7;20;26;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;27;15;4;2;35;14;45*13;9;39;8;18;34;24;30*33;38;25;22;47;28;3*37;36;32;41","7",""
23,1989.5017,1958.9745,2518.9172,";;7;20;26;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;27;15;4;2;35;25;45*13;9;39;8;18;34;24;30*33;38;14;22;47;28;3*37;36;32;41","7",""
24,1982.3296,1958.9745,2386.7664,";;7;20;26;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;27;15;4;2;35;14;45*13;9;39;8;18;34;24;30*33;38;25;22;47;28;3*37;36;32;41","7",""
25,1986.5168,1952.2648,2458.0813,";;7;20;26;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;9;15;4;2;35;14;45*13;27;39;8;18;34;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
26,1996.0515,1952.2648,2842.3926,";;7;20;26;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;9;15;4;2;35;14;45*13;27;39;8;18;34;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
27,1973.4672,1949.13,2525.3757,";;7;26;20;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;9;15;4;2;35;14;45*13;27;39;8;18;34;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
28,1982.9915,1949.13,2517.5664,";;7;26;20;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;9;15;4;2;35;14;45*13;27;39;8;18;34;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
29,1981.385,1949.13,2428.1958,";;7;26;20;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;9;15;4;2;35;14;45*13;27;39;8;18;34;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
30,1963.5669,1949.13,2476.6345,";;7;26;20;19;40*17;43;44;10;11;21*31;12;5;46;42;1;6;23*16;29;9;15;4;2;35;14;45*13;27;39;8;18;34;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
31,1992.013,1941.1888,2753.0232,";;7;26;20;19;40*17;43;44;10;11;13*31;12;5;46;42;1;6;23*16;29;9;15;4;2;35;14;45*21;27;39;8;18;34;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
32,1963.8054,1941.1888,2212.9055,";;7;26;20;19;40*17;43;44;10;11;13*31;12;5;46;42;1;6;23*16;29;9;15;4;2;35;14;45*21;27;39;8;18;34;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
33,1966.1581,1941.1888,2444.3586,";;7;26;20;19;40*17;43;44;10;11;13*31;12;5;46;42;1;6;23*16;29;9;15;4;2;35;14;45*21;27;39;8;18;34;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
34,1964.7906,1933.8727,2379.3577,";;7;26;20;19;40*17;43;44;10;11;13*31;12;5;46;42;1;6;23*16;34;9;15;4;2;35*14;45;21;27;39;8;18;29;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
35,1964.2332,1930.2975,2228.2405,";;7;26;20;19;40*17;44;43;10;11;13*31;12;5;46;42;1;6;23*16;34;9;15;4;2;35*14;45;21;27;39;8;18;29;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
36,1950.908,1930.2975,2202.0188,";;7;26;20;19;40*17;44;43;10;11;13*31;12;5;46;42;1;6;23*16;34;9;15;4;2;35*14;45;21;27;39;8;18;29;24;30;33*38;25;22;47;28;3*37;36;32;41","7",""
37,1963.6746,1919.0297,2550.9204,";;7;26;20;19;40*17;43;44;10;11;13*31;12;5;46;42;1;6;23*16;34;9;15;4;2;35*14;45;21;27;39;8;18;29;24;30;33*38;25;41;47;28;3*37;36;32;22","7",""
38,1947.6277,1917.5183,2386.866,";;7;26;20;19;40*17;43;44;10;11;13*31;12;5;46;42;1;6;23*16;34;9;15;4;2;35*14;45;21;27;39;8;18;33;24;30;29*38;25;41;47;28;3*37;36;32;22","7",""
39,1949.7432,1913.9431,2550.8464,";;7;26;20;19;40*17;44;43;10;11;13*31;12;5;46;42;1;6;23*16;34;9;15;4;2;35*14;45;21;27;39;8;18;33;24;30;29*38;25;41;47;28;3*37;36;32;22","7",""
40,1953.3286,1910.6957,2517.4048,";;7;26;20;19;40*17;44;43;10;11;13*31;12;5;46;42;1;6;23*16;34;9;15;4;2;35*14;45;29;27;39;8;18;21;24;30;33*38;25;41;47;28;3*37;36;32;22","7",""
41,1953.1196,1903.7268,2478.244,";;7;26;20;19;40*17;44;43;10;4;13;31*12;5;46;42;1;6;23;16*34;9;15;11;2;35*14;45;21;27;39;8;18;29;24;30;33*38;25;41;47;28;3*37;36;32;22","7",""
42,1952.9783,1902.0471,2391.1106,";;7;26;20;19;40*17;44;43;10;11;13*31;12;5;46;42;1;6;23*16;34;9;15;4;2;35*14;45;29;27;39;8;18;33;24;30;21*38;25;41;47;28;3*37;36;32;22","7",""
43,1926.7216,1890.3195,2186.3096,";;7;26;20;19;40*17;44;43;8;4;13;31;12*5;46;42;1;6;23;16*34;9;15;11;2;35*14;45;29;27;39;10;18;33;24;30*21;38;25;41;47;28*3;37;36;32;22","7",""
44,1920.0306,1890.3195,2372.3691,";;7;26;20;19;40*17;44;43;10;4;13;31*12;5;46;42;1;6;23;16*34;9;15;11;2;35*14;45;29;27;39;8;18;33;24;30;21*38;25;41;47;28;3*37;36;32;22","7",""
45,1923.675,1877.7418,2339.2559,";;7;26;20;19;40*17;44;23;10;4;13;31*12;5;46;42;1;6;43;16*34;9;15;11;2;35*14;45;29;27;39;8;18;33;24;30;21*38;25;41;47;28;3*37;36;32;22","7",""
46,1906.8175,1877.7418,2588.3472,";;7;26;20;19;40*17;44;23;10;4;13;31*12;5;46;42;1;6;43;16*34;9;15;11;2;35*14;45;29;27;39;8;18;33;24;30;21*38;25;41;47;28;3*37;36;32;22","7",""
47,1905.6652,1876.2749,2143.1345,";;7;26;20;19;40*17;44;23;10;4;13;31*12;5;46;42;1;6;43;16*34;9;15;11;47;35*14;45;29;27;39;8;18;21;24;30;33*38;25;41;2;28;3*37;36;32;22","7",""
48,1914.5211,1876.2749,2555.368,";;7;26;20;19;40*17;44;23;10;4;13;31*12;5;46;42;1;6;43;29*34;9;15;11;47;35*14;45;16;27;39;8;18;21;24;30*33;38;25;41;2;28;3*37;36;32;22","7",""
49,1892.1317,1867.6263,2326.5642,";;7;26;20;19;40*17;44;23;10;4;13;31*12;5;46;42;1;6;43;16*34;9;15;11;47;35*14;45;29;27;39;8;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
50,1930.4854,1866.7329,2423.357,";;7;26;20;19;40*17;44;23;10;4;13;31*12;43;46;42;1;6;5;16*34;9;15;11;47;35*14;45;29;27;39;8;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
51,1888.5422,1866.7329,2130.557,";;7;26;20;19;40*17;44;23;10;4;13;31*12;43;46;42;1;6;5;16*34;9;15;11;47;35*14;45;29;27;39;8;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
52,1897.8799,1863.0676,2319.7134,";;7;26;20;19;40*23;44;17;10;4;13;31*12;5;46;42;1;6;43;16*34;9;15;11;47;35*14;45;29;27;39;8;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
53,1889.0514,1860.2461,2471.8706,";;7;26;20;19;40*17;44;23;10;13;4;31*12;5;46;42;1;6;43;16*34;9;15;11;47;35*14;45;29;27;39;8;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
54,1892.3892,1858.447,2474.615,";;7;26;20;19;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47;35*14;45;29;27;8;39;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
55,1879.0016,1847.3988,2241.541,";;7;26;20;19;40*17;44;23;10;4;13;31*12;5;46;42;1;6;43;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
56,1877.7717,1847.3988,2357.6548,";;7;26;20;19;40*17;44;23;10;4;13;31*12;5;46;42;1;6;43;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
57,1883.7444,1839.1252,2419.86,";;7;26;20;19;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
58,1886.7788,1839.1252,2522.0686,";;7;26;20;19;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
59,1887.0576,1839.1252,2457.8333,";;7;26;20;19;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
60,1868.968,1839.1252,2543.0083,";;7;26;20;19;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
61,1855.5961,1839.1252,2179.6873,";;7;26;20;19;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
62,1868.5806,1839.1252,2641.1064,";;7;26;20;19;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
63,1863.6172,1839.1252,2481.0571,";;7;26;20;19;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;25;41;2;28;3*37;36;32;22","7",""
64,1864.5498,1835.8862,2449.368,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
65,1861.9521,1835.8862,2497.2622,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
66,1863.2723,1835.8862,2497.693,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
67,1879.2885,1835.8862,2498.0967,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
68,1875.4044,1835.8862,2353.6235,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
69,1863.1486,1835.8862,2475.786,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
70,1868.7794,1835.8862,2596.6555,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
71,1848.723,1835.8862,2470.9148,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
72,1858.9498,1835.8862,2400.722,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
73,1875.3148,1835.8862,2724.9844,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
74,1857.5641,1835.8862,2247.4333,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
75,1861.6134,1835.8862,2369.4258,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
76,1857.3768,1835.8862,2475.0442,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
77,1852.5463,1835.8862,2102.8237,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
78,1844.3933,1835.8862,2124.4932,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;1;6;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
79,1867.3666,1819.4479,2430.888,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;6;1;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
80,1877.273,1819.4479,2405.7922,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;6;1;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
81,1875.5251,1819.4479,2492.5605,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;6;1;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
82,1855.0134,1819.4479,2425.8276,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;6;1;5;16*34;9;15;11;47*14;35;45;29;27;8;39;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
83,1836.479,1813.9172,2467.1355,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;6;1;5;16*34;9;15;11;47*14;35;45;29;39;8;27;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
84,1842.7262,1813.9172,2477.3838,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;6;1;5;16*34;9;15;11;47*14;35;45;29;39;8;27;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
85,1845.3894,1813.9172,2336.3757,";;7;26;20;25;40*17;44;23;10;13;4;31*12;43;46;42;6;1;5;16*34;9;15;11;47*14;35;45;29;39;8;27;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
86,1844.2632,1803.6045,2478.3296,";;42;26;20;25;40;17*44;23;10;13;46;31;12;43;4*7;6;1;5;16;34*9;15;11;47;14;35;45*29;39;8;27;18;33;24;30;21;38*19;41;2;28;3*37;36;32;22","7",""
87,1836.4594,1803.6045,2410.024,";;7;26;20;25;40*17;44;23;10;13;46;31*12;43;4;42;6;1;5;16*34;9;15;11;47*14;35;45;29;39;8;27;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
88,1827.5486,1803.6045,2152.9578,";;7;26;20;25;40*17;44;23;10;13;46;31*12;43;4;42;6;1;5;16*34;9;15;11;47*14;35;45;29;39;8;27;18;33;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
89,1835.2867,1798.777,2708.0786,";;7;26;20;25;40*17;44;23;10;13;46*28;12;43;4;42;6;1;5*16;34;9;15;11*47;14;35;33;29;39;8;27;18;45;24;30*21;38;19;41;2;31*3;37;36;32;22","7",""
90,1825.4602,1798.777,2301.2021,";;7;26;20;25;40*17;44;23;10;13;46;31*12;43;4;42;6;1;5;16*34;9;15;11;47*14;35;33;29;39;8;27;18;45;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
91,1838.5796,1798.0055,2358.3586,";;7;26;20;25;40*17;44;23;10;13;46;31*12;43;47;42;6;1;5*16;34;9;15;11;4*14;35;33;29;39;22;27;18;45;24;30*21;38;19;41;2*28;3;37;36;32;8","7",""
92,1819.6311,1798.0055,2317.109,";;7;26;20;25;40*17;44;23;10;13;46;31*12;43;47;42;6;1;5*16;34;9;15;11;4*14;35;33;29;39;8;27;18;45;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
93,1809.751,1798.0055,2045.5055,";;7;26;20;25;40*17;44;23;10;13;46;31*12;43;47;42;6;1;5*16;34;9;15;11;4*14;35;33;29;39;8;27;18;45;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
94,1824.4636,1797.4137,2153.2935,";;17;26;20;25;40*7;44;23;10;13;46*31;12;43;47;42;6;1;5*16;34;9;15;11;4*14;35;33;29;39;8;27;18;45;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
95,1830.9753,1752.4309,2303.6582,";;42;26;20;25;40;17*44;23;10;13;46;31;12;43*47;7;6;1;5;16*34;9;15;11;4;14;35;33*29;39;8;27;18;45;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
96,1825.6776,1752.4309,2541.1492,";;42;26;20;25;40;17*44;23;10;13;46;31;12;43*47;7;6;1;5;16*34;9;15;11;4;14;35;33*29;39;8;27;18;45;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
97,1819.5654,1752.4309,2472.1926,";;42;26;20;25;40;17*44;23;10;13;46;31;12;43*47;7;6;1;5;16*34;9;15;11;4;14;35;33*29;39;8;27;18;45;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
98,1774.4916,1738.9509,2209.3008,";;42;26;20;25;40;7*44;23;10;13;46;31;12;43*47;17;6;1;5;16*34;9;15;11;4;14;35;33*29;39;8;27;18;45;24;30;21*38;19;41;2;28*3;37;36;32;22","7",""
99,1767.8732,1709.2527,2357.743,";;42;26;20;25;40;17*44;23;10;13;46;31;12;43;35*7;6;1;5;16;34*9;15;11;4;14;47;33;29*39;8;27;18;45;24;30;21;38*19;41;2;28;3*37;36;32;22","7",""
