"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1591.5906"
0,2920.077,2572.1743,3362.535,";;31;33;4;2;10;12;3;36*6;45;41;46;13;21*40;9;44;28;18;35*7;19;42;11;25;32*14;8;23;20;27;26;37*38;47;15;43;17;5;22*24;16;39;30;34;1;29","7",""
1,2796.706,2410.1758,3298.3108,";;36;43;11;32;4;15;26;8*19;37;27;16;22*7;24;20;39;23;5;12;1*40;3;34;21;28;45;41;35*17;14;38;47;2*13;6;25;42;9;33;29*18;44;31;10;46;30","7",""
2,2686.1082,2410.1758,3077.1912,";;36;43;11;32;4;15;26;8*13;37;27;16;22*7;24;20;39;23;5;12;1*40;3;34;21;28;45;41;35*17;14;38;47;2*19;6;25;42;9;33;29*18;44;31;10;46;30","7",""
3,2621.6062,2348.2512,3008.3857,";;19;3;25;28;21;13*23;17;20;38;40*9;46;10;2;18*11;15;29;24;33;31;45;22;44*36;39;30;34;1;35;8;37;27*47;26;7;4;42;12*6;41;14;16;5;32;43","7",""
4,2558.9768,2180.8618,3021.8264,";;19;3;25;28;21;13*23;17;20;38;40*9;46;10;2;18*11;15;29;24;33;31;45;22;44*36;39;30;34;16;41;8;26;27*47;37;7;4;42*12;6;35;14;1;5;32;43","7",""
5,2509.9734,2180.8618,3091.2412,";;19;3;25;28;21;13*23;17;20;38;40*9;46;10;2;18*11;15;29;24;33;31;45;22;44*36;39;30;34;16;41;8;26;27*47;37;7;4;42*12;6;35;14;1;5;32;43","7",""
6,2453.511,2180.8618,2918.6294,";;19;3;25;28;21;13*23;17;20;38;40*9;46;10;2;18*11;15;29;24;33;31;45;22;44*36;39;30;34;16;41;8;26;27*47;37;7;4;42*12;6;35;14;1;5;32;43","7",""
7,2360.4275,2152.6921,3160.298,";;19;3;25;28;21;13*23;17;20;38;40*9;46;10;2;30;4;15;29*24;33;31;45;12;44;36;39;18*34;16;41;8;26;27;47*37;7;11;42;22*6;35;14;1;5;32;43","7",""
8,2303.8872,2120.3132,2988.8296,";;19;3;25;28;21;13*23;17;20;38;40*9;46;10;2;18*11;15;29;30;33;31;45;12;44*36;39;24;34;16;41;8;26*27;47;37;7;4;42*22;6;35;14;1;5;32;43","7",""
9,2256.194,2113.4768,2765.37,";;19;3;25;28;21;13*23;17;20;38;40*9;46;10;2;18;30;15*29;11;33;31;45;12;44;36*39;24;34;47;41;8;26;27*16;37;7;4;42;22*6;35;14;1;5;32;43","7",""
10,2190.92,2111.2524,2545.967,";;19;3;25;28;21;13*23;17;20;38;40*9;46;10;2;18*11;15;29;30;33;31;45;12;44*36;39;24;34;16;41;8;26*27;47;37;4;42;7*22;6;35;14;1;5;32;43","7",""
11,2156.8792,2087.7812,2366.9377,";;19;3;25;38;21*13;23;17;20;28;40*9;46;10;2;18*11;15;29;24;33;44;45;12*31;36;39;30;34;16;41;8;26*27;47;37;7;4;42*22;6;35;14;1;5;32;43","7",""
12,2126.9387,2087.7812,2420.9714,";;19;3;25;38;21*13;23;17;20;28;40*9;46;10;2;18*11;15;29;24;33;44;45;12*31;36;39;30;34;16;41;8;26*27;47;37;7;4;42*22;6;35;14;1;5;32;43","7",""
13,2146.6135,2063.4104,2630.5698,";;19;3;25;28;21;13*23;17;20;38;40*9;46;10;2;18*11;15;29;30;33;44;45;12;31*36;39;24;34;16;41;8;26*27;47;37;7;4;42*22;6;35;14;1;5;32;43","7",""
14,2125.7432,2059.9822,2499.6008,";;19;3;25;38;21*13;23;17;18;28;40*9;46;10;2;20*11;15;29;24;33;44;45;12*31;36;39;30;34;16;41;8;26*27;47;37;7;4;42*22;6;35;14;1;5;32;43","7",""
15,2119.43,2017.0056,2543.8418,";;19;3;25;38;21*13;23;17;18;28;40*9;46;10;2;4;11*15;29;24;33;44;45;12;31;36;39*30;34;47;41;8;26;27;16*37;7;42;20;22*6;35;14;1;5;32;43","7",""
16,2096.8618,1984.6265,2588.3313,";;19;3;25;38;21*13;23;17;18;28;40*9;46;10;2;4;11*15;29;30;33;44;45;12;31;36;39*24;34;47;41;8;26;27*16;37;7;42;20*22;6;35;14;1;5;32;43","7",""
17,2072.7954,1984.6265,2529.4773,";;19;3;25;38;21*13;23;17;18;28;40*9;46;10;2;4;11*15;29;30;33;44;45;12;31;36;39*24;34;47;41;8;26;27*16;37;7;42;20*22;6;35;14;1;5;32;43","7",""
