"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1694.3372"
0,2944.15,2524.1829,3295.9158,";;42;46;16;6;5;15*17;7;43;35;12;18;45;25*8;9;27;10;33;37;1;2;29*21;28;14;30;31;19;36*40;26;39;23;38;3;32*47;11;41;34;20;22*4;13;24;44","7",""
1,2812.1475,2330.4026,3228.6187,";;23;19;31;5;35;9;41*37;3;34;15;2*21;18;30;42;7;29;46;33*4;27;39;24;12;25;22;45;28*6;17;14;26;36*16;44;1;47;40;38*20;13;11;43;32;10;8","7",""
2,2742.6526,2327.7832,3198.3892,";;10;40;31;5;35;9;41*37;3;34;15;2*21;18;30;42;7;29;46;33*4;13;39;11;12;25;22;45*28;26;17;23;16;27*44;32;6;1;20;24;8;36*38;19;14;47;43","7",""
3,2633.7542,2263.8826,3130.5845,";;10;40;31;5;35;9;41*37;3;34;15;2*21;18;30;42;7;29;46;33*4;13;39;24;12;25;20;45*28;26;17;23;16;27;32;1*6;44;22;11;8;36*38;19;14;47;43","7",""
4,2504.7925,2210.5957,2997.987,";;23;19;31;5;35;9;41*37;3;34;15;2*21;18;30;42;7;29;46*26;4;13;39;24;12;25;22;45*28;33;17;10;16;27;44;32*6;1;20;11;8;36*38;40;14;47;43","7",""
5,2344.0063,2158.4026,2772.7405,";;23;19;31;5;35;9;41*37;3;34;15;2*21;18;30;42;7;29;46;33*4;13;39;24;12;25;22;45;28*36;40;26;16;6*38;14;1;43;47;10;17;27*20;11;8;32;44","7",""
6,2266.4626,2158.4026,2674.8074,";;23;19;31;5;35;9;41*37;3;34;15;2*21;18;30;42;7;29;46;33*4;13;39;24;12;25;22;45;28*36;40;26;16;6*38;14;1;43;47;10;17;27*20;11;8;32;44","7",""
7,2263.1907,2158.4026,2496.465,";;23;19;31;5;35;9;41*37;3;34;15;2*21;18;30;42;7;29;46;33*4;13;39;24;12;25;22;45;28*36;40;26;16;6*38;14;1;43;47;10;17;27*20;11;8;32;44","7",""
8,2249.3586,2102.347,2631.9897,";;23;19;31;5;35;9;41*37;3;34;15;2*21;18;30;42;7;29;46;33*4;13;39;24;12;25;22;45;28*26;16;47;10;6*38;14;1;43;36;40;17*27;20;11;8;32;44","7",""
9,2211.9053,2102.347,2568.6858,";;23;19;31;5;28;9;41*37;3;34;15;2*21;18;30;42;7;29;46;33*4;13;39;24;12;25;22;45;35*26;16;47;10;6*38;14;1;43;36;40;17*27;20;11;8;32;44","7",""
10,2170.0215,2084.3481,2753.533,";;23;19;14;5;35;9;41*37;3;34;15;2*21;18;30;42;7;29;46*26;4;13;39;24;12;25;22;45*28;33;16;47;10;6*38;31;1;43;36;40;17*27;20;11;8;32;44","7",""
11,2127.0132,2072.8362,2460.7554,";;23;19;31;5;35;9;21*37;3;34;15;2;41*18;30;42;7;29;46;33;4*13;39;24;12;25;22;45;28*26;16;47;10;6*38;14;1;43;40;36;17*27;20;11;8;32;44","7",""
12,2114.9888,2072.8362,2459.7778,";;23;19;31;5;35;9;21*37;3;45;15;2;41*18;30;42;7;29;46;33;4*13;39;24;12;25;22;34*28;26;16;47;10;6*38;14;1;43;40;36;17*27;20;11;8;32;44","7",""
13,2113.0845,2040.7196,2400.1208,";;23;19;31;5;35;9;21*37;3;34;15;2;41*18;30;42;7;29;46;26*4;13;39;24;12;25;22;45;28*33;16;47;10;6;38*14;1;43;36;40;17;27;20*11;8;32;44","7",""
14,2093.8474,2038.0194,2439.163,";;23;19;31;5;35;9;21*37;3;34;15;2;41*18;30;33;7;29;46;42;4*13;39;24;12;25;22;45;28*26;16;47;10;44;38*14;1;43;36;40;17;27;20*11;8;32;6","7",""
15,2079.1274,2018.4159,2418.381,";;23;19;31;5;35;9;21*37;3;34;15;2;22*18;30;42;7;29;46;26*4;13;39;24;12;25;41;45;28*33;16;47;10;38;6*14;1;43;36;40;17;27;20*11;8;32;44","7",""
16,2070.0046,2015.7157,2438.9814,";;23;19;31;5;35;9;21*37;3;34;15;2;41*18;30;33;7;29;46;42;4*13;39;24;12;8;22;45;28*26;16;47;10;38*6;14;1;43;36;40;17;27*20;11;25;32;44","7",""
17,2053.1409,1994.6486,2395.0828,";;23;19;31;5;35;9;21*37;3;34;15;2;41*18;30;42;7;29;46;26*4;13;39;24;12;22;25;45;28*33;16;47;10;38;6*14;1;43;36;40;17;27;20*11;8;32;44","7",""
18,2054.7368,1973.4188,2339.3418,";;23;19;38;5;1;9;21*37;3;34;15;2;41*18;30;33;7;29;46;42;4*13;39;24;12;25;22;45;28*26;16;47;10;6;31*14;35;43;36;40;17;27;20*11;8;32;44","7",""
19,2048.546,1973.4188,2374.4402,";;23;19;38;5;1;9;21*37;3;34;15;2;41*18;30;33;7;29;46;42;4*13;39;24;12;25;22;45;28*26;16;47;10;6;31*14;35;43;36;40;17;27;20*11;8;32;44","7",""
20,2026.9614,1973.4188,2412.3125,";;23;19;38;5;1;9;21*37;3;34;15;2;41*18;30;33;7;29;46;42;4*13;39;24;12;25;22;45;28*26;16;47;10;6;31*14;35;43;36;40;17;27;20*11;8;32;44","7",""
21,1999.0552,1952.3518,2347.0088,";;23;13;38;5;1;9;21*37;3;34;15;2;41*18;30;42;7;29;46;26*4;19;39;24;12;22;25;45;28*33;16;47;10;6;31;14;35;43*36;40;17;27;20*11;8;32;44","7",""
22,1993.6963,1952.3518,2340.3203,";;23;19;38;5;1;9;21*37;3;34;15;2;41*18;30;42;7;29;46;26*4;13;39;24;12;22;25;45;28*33;16;47;10;6;31;14;35;43*36;40;17;27;20*11;8;32;44","7",""
23,2003.6418,1949.6516,2352.3655,";;23;19;38;5;1;9;21*37;3;34;15;2;41*18;30;33;7;29;46;42;4*13;39;24;12;22;25;45;28*26;16;47;10;6;31*14;35;43;36;40;17;27;20*11;8;32;44","7",""
24,1986.7354,1947.4502,2365.0469,";;23;19;38;5;1;9;21*37;3;34;15;2;41*18;30;42;7;29;46;26*4;13;39;24;12;22;25;45;28*33;16;47;10;6;31;14;35;43*36;40;17;27;11*20;8;32;44","7",""
25,1986.9106,1944.75,2349.879,";;23;19;38;5;1;9;21*37;3;34;15;2;41*18;30;33;7;29;46;42;4*13;39;24;12;22;25;45;28*26;16;47;10;6;31*14;35;43;36;40;17;27*11;20;8;32;44","7",""
26,1976.2457,1944.75,2304.9238,";;23;19;38;5;1;9;21*37;3;34;15;2;41*18;30;33;7;29;46;42;4*13;39;24;12;22;25;45;28*26;16;47;10;6;31*14;35;43;36;40;17;27*11;20;8;32;44","7",""
27,1961.1583,1923.7678,2226.2139,";;23;19;38;5;1;9;21*37;3;34;15;2;41*18;30;13;7;29;46*26;4;42;39;24;12;22;25;45*28;33;16;47;10;6;31*14;35;43;36;40;17;27*11;20;8;32;44","7",""
28,1971.8835,1923.7678,2337.0894,";;23;19;38;5;1;9;21*37;3;34;15;2;41*18;30;13;7;29;46*26;4;42;39;24;12;22;25;45*28;33;16;47;10;6;31*14;35;43;36;40;17;27*11;20;8;32;44","7",""
29,1967.7372,1916.641,2510.5383,";;23;19;38;5;1;42;21*37;3;34;15;2;41*18;30;33;7;29;46;9;4*13;39;24;12;22;25;45;28*11;16;47;10;6*31;14;35;43;36;40;17;27*26;20;8;32;44","7",""
30,1949.6592,1820.0164,2417.917,";;23;19;38;5;1;9;21*37;3;34;15;2;41*18;30;13;24;29;46;26;4*42;39;7;12;22;25;45;28*33;16;47;10;6;31;14;35;43*36;40;17;27;11*20;8;32;44","7",""
31,1944.999,1820.0164,2266.409,";;23;19;38;5;1;9;21*37;3;34;15;2;41*18;30;13;24;29;46;26;4*42;39;7;12;22;25;45;28*33;16;47;10;6;31;14;35;43*36;40;17;27;11*20;8;32;44","7",""
