"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1647.2094"
0,2947.58,2467.1262,3324.7012,";;23;34;45;41;7;25;16*5;6;14;8;20;10;28*19;12;1;44;38;11*24;2;22;13;21;46;43*47;40;36;26;29;30;9*18;35;31;33;39;42;32;27;4;3*37;15;17","7",""
1,2777.233,2421.7256,3394.791,";;36;11;29;22;45;23;1;26;5*20;39;4;30;17;35;28;43;6*25;31;14;8;46;16;37*42;40;33;9;15;32;12;18*38;19;7;34*3;41;47;10;27;44;2*21;13;24","7",""
2,2657.4412,2334.2354,3138.312,";;36;11;29;22;45;23;1;26;5*20;39;4;30;17;35;28;43;6*25;31;14;8;46;33;37;42*40;16;9;15;32;12;18*38;19;27;7;3*34;47;10;41;44;2*21;13;24","7",""
3,2547.1477,2332.556,2989.141,";;36;11;29;22;45;23;1;26;5*20;39;4;30;17;35;28;43;6*25;31;14;8;46;33;37;42*40;16;9;15;32;12;18*38;19;7;34*3;27;47;10;41;44;2*21;13;24","7",""
4,2466.6814,2318.4324,3046.4175,";;36;11;29;22;45;23;1;26;5*20;39;4;30;17;35;28;43;6*25;31;14;8;46;33;37;42*40;16;9;15;32;12;18*38;19;7;27;3*34;47;10;41;44;2*21;13;24","7",""
5,2371.5647,2291.4,2911.609,";;36;11;29;22;45;23;1;26;5*20;39;4;30;17;35;28;43;6*25;31;14;8;46;33;2;42;40*16;9;15;32;12;18*38;19;7;27;3*34;47;10;41;44;37*21;13;24","7",""
6,2333.312,2209.3005,2662.4434,";;36;11;29;22;45;23;1;26;5*20;39;4;30;17;35;44;43;6*25;31;14;8;46;33;37;42*40;16;9;15;32;12;18*38;19;7;34*3;27;47;10;41;28;2*21;13;24","7",""
7,2303.7375,2202.1123,2625.8008,";;36;11;29;22;45;23;1;26;5*20;39;4;30;17;35;44;43;6*25;31;14;8;46;33;37;42*40;16;9;15;32;12;18*38;19;7;3*34;27;47;10;41;28*2;21;13;24","7",""
8,2279.9736,2160.961,2475.6982,";;36;2;29;22;45;23;1;26;5*20;39;4;30;17;35;44;43;6*25;31;14;8;46;33;37;42*40;16;9;15;32;12;18*38;19;7;27;3*34;47;10;41;11;28*21;13;24","7",""
9,2217.7058,2099.3145,2529.407,";;36;11;29;22;31;23;1;26;5*20;39;4;30;17;35;44;43;6*25;45;14;8;46;33;2;42;40*16;9;15;32;12;18*38;19;7;3;27*34;47;10;41;28;37*21;13;24","7",""
10,2191.662,2054.3665,2406.28,";;36;11;29;22;31;23;1;26;5*20;39;4;30;17;35;44;43;6*25;37;14;8;46;33;2;42*40;16;9;15;32;12;18*38;19;7;34*3;27;47;10;41;28;45;21*13;24","7",""
