"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1595.9866"
0,2963.076,2539.839,3580.0444,";;1;3;30;29;15;7;6;26*12;35;37;18;22;9;5*11;8;24;21;13;28*16;23;38;27;2*17;33;41;14;45;43;32;44;40*19;42;4;20;39;36;10;25*46;34;31;47","7",""
1,2807.3882,2390.4211,3338.5674,";;5;19;25;17;29;38*40;6;21;8;11;23;35;32;43*44;46;26;30;34;36;12;1*37;39;22;18;7;41;4;33*14;47;9;13;10;15;27*45;28;16;2;3;20*42;24;31","7",""
2,2691.825,2247.821,3073.281,";;6;37;42;2*34;18;40;36;7;1*19;4;22;9;5;11;8*24;21;13;28;16;23*38;27;10;17;33;41;14;45*43;32;44;12;25;3;26;20;39*15;46;30;29;47;31;35","7",""
3,2599.571,2247.821,3112.8584,";;6;37;42;2*34;18;40;36;7;1*19;4;22;9;5;11;8*24;21;13;28;16;23*38;27;10;17;33;41;14;45*43;32;44;12;25;3;26;20;39*15;46;30;29;47;31;35","7",""
4,2552.6614,2247.821,2967.5881,";;6;37;42;2*34;18;40;36;7;1*19;4;22;9;5;11;8*24;21;13;28;16;23*38;27;10;17;33;41;14;45*43;32;44;12;25;3;26;20;39*15;46;30;29;47;31;35","7",""
5,2490.8875,2240.1428,2895.2637,";;6;37;42;2;9*4;19;35;40;38;10;24*14;41;5;11;8;34;21*13;28;16;23;18;27;22*17;33;45;7;36;43;32;44*12;25;3;26;20;39;15*46;30;29;47;31;1","7",""
6,2443.6582,2240.1428,2951.3435,";;6;37;42;2;9*4;19;35;40;38;10;24*14;41;5;11;8;34;21*13;28;16;23;18;27;22*17;33;45;7;36;43;32;44*12;25;3;26;20;39;15*46;30;29;47;31;1","7",""
7,2328.4224,2231.9224,2794.1018,";;6;37;42;2;9*4;19;35;40;38;10;24*14;41;5;11;8;34;21*13;28;16;23;18;27;22*17;33;45;7;36;32;47*44;12;25;3;26;20;39;15*46;30;29;43;31;1","7",""
8,2279.5496,2228.4407,2477.2944,";;6;37;42;2;9*4;19;35;40;28;10;24;14*41;5;11;8;34;21*13;38;16;23;18;27*22;17;33;45;7;36;43;32;44*12;25;3;26;20;39;15*46;30;29;47;31;1","7",""
9,2252.811,2120.9426,2441.5703,";;6;37;42;13*9;4;19;35;40;38;10*24;14;41;5;11;8;34*21;2;28;16;23;18;27*22;17;33;45;7;36;32;47*44;12;25;3;26;20;39;15*46;30;29;43;31;1","7",""
10,2239.475,2120.9426,2509.1292,";;6;37;42;13*9;4;19;35;40;38;10*24;14;41;5;11;8;34*21;2;28;16;23;18;27*22;17;33;45;7;36;32;47*44;12;25;3;26;20;39;15*46;30;29;43;31;1","7",""
11,2204.0735,2120.9426,2444.6711,";;6;37;42;13*9;4;19;35;40;38;10*24;14;41;5;11;8;34*21;2;28;16;23;18;27*22;17;33;45;7;36;32;47*44;12;25;3;26;20;39;15*46;30;29;43;31;1","7",""
12,2156.6094,2051.1958,2373.0881,";;6;37;42;4;9*2;19;35;40;38;36*34;7;18;5;11;8*24;21;13;28;16;23;22*27;10;17;33;45;41;14;43;32;44*12;25;3;26;20;39;15*46;30;29;47;31;1","7",""
13,2129.8826,2051.1958,2321.5942,";;6;37;42;4;9*2;19;35;40;38;36*34;7;18;5;11;8*24;21;13;28;16;23;22*27;10;17;33;45;41;14;43;32;44*12;25;3;26;20;39;15*46;30;29;47;31;1","7",""
14,2116.9272,2051.1958,2245.575,";;6;37;45;4;9;2*19;35;40;38;36;34*7;18;5;11;8;24*21;13;28;16;23;22;27*10;17;33;42;41;14;43;32;44*12;25;3;26;20;39;15*46;30;29;47;31;1","7",""
15,2102.4426,2041.3263,2380.3137,";;6;37;42;4;9*38;19;35;40;2;36*34;7;18;5;11;8*24;21;13;28;16;23;22*27;10;17;33;45;41;14;43;32;44*12;25;3;26;20;39;15*46;30;29;47;31;1","7",""
16,2061.6604,2026.5857,2242.9153,";;6;37;42;13*9;4;19;35;40;38*36;34;7;18;5*11;8;24;21;2;28*16;23;45;27;10;17;33;22;41*14;43;32;44;12;25;3;26;20*39;47;46;30;29;15;31;1","7",""
17,2067.9854,2026.5857,2316.292,";;6;37;42;13*9;4;19;35;40;38*36;34;7;18;5*11;8;24;21;2;28*16;23;22;27;10;17;33;15;41*14;43;32;44;12;25;3;26;20*39;47;46;30;29;45;31;1","7",""
18,2057.9868,1979.2998,2353.1724,";;12;37;42;4;9;13*19;16;40;38;36*34;7;18;35;11;8*24;21;2;28;5;23;22;27*10;17;33;45;41;14;43;32;44*6;25;3;26;20;39;15*46;30;29;47;31;1","7",""
19,2049.9993,1961.7983,2234.5972,";;12;37;42;4;9;13*19;16;40;38;36*34;7;18;35;11;8*24;21;2;28;5;23;22;27*10;17;33;45;41;14;43;32;44*6;25;3;26;20;39*47;46;30;29;15;31;1","7",""
20,2018.0562,1943.2699,2199.0469,";;6;37;42;13*9;4;19;35;40;38*36;34;7;18;16*11;8;24;21;2;28;5*23;22;27;10;17;33;45;41;14;43;32*44;12;25;3;26;20;39*47;46;30;29;15;31;1","7",""
21,1992.7635,1943.2699,2368.2847,";;6;37;42;13*9;4;19;35;40;38*36;34;7;18;16*11;8;24;21;2;28;5*23;22;27;10;17;33;45;41;14;43;32*44;12;25;3;26;20;39*47;46;30;29;15;31;1","7",""
22,1979.7909,1936.8807,2442.5396,";;12;37;42;4;9;13*19;16;40;38;36*34;7;18;15;11;8*24;21;2;28;5;23;22;27*10;17;33;45;41;14;43;32;44*6;25;3;26;20;39*47;46;30;29;35;31;1","7",""
23,1973.305,1923.4043,2367.2512,";;12;37;42;4;9;13*19;35;40;38;36;34*7;18;16;11;8;24*21;2;28;5;23;22;27;10*17;47;45;41;14;43;32;44*6;25;3;26;20;39;15*46;30;29;33;31;1","7",""
24,1968.8505,1898.1105,2385.825,";;12;37;42;4;9;13*19;16;40;38;36*34;7;18;15;11;8*24;21;2;28;5;23;22;27*10;17;47;45;41;14;43;32;44*6;25;3;26;20;39;33*46;30;29;35;31;1","7",""
25,1939.9597,1885.7799,2168.0986,";;12;37;42;13;9;4*19;35;40;38;36;34*7;18;15;11;8;24*21;2;28;5;23;22;27;10*17;47;45;41;14;43;32;44*6;25;3;26;20;39;33*46;30;29;16;31;1","7",""
26,1934.6931,1867.4095,2244.1133,";;12;4;42;13;9;37*19;35;40;38;36;34*7;18;23;11;8;24;21*2;28;1;16;22;27;10*17;47;45;41;14;43;32;44*6;25;3;26;20;39;33*46;30;29;15;31;5","7",""
27,1919.5292,1867.4095,2236.2761,";;12;4;42;13;9;37*19;35;40;38;36;34*7;18;16;11;8;24*21;2;28;1;23;22;27;10*17;47;45;41;14;43;32;44*6;25;3;26;20;39;33*46;30;29;15;31;5","7",""
28,1909.8124,1852.247,2211.398,";;12;4;42;13;9;37*19;35;40;38;36;34*7;18;15;11;8;24*21;2;28;1;23;22;27;10*17;47;45;41;14;43;32;44*6;25;3;26;20;39;33*46;30;29;16;31;5","7",""
29,1879.8265,1851.7386,2185.9036,";;12;4;42;13;9;37*19;35;40;38;36;34*7;18;15;11;8;24*21;2;28;5;23;22;27;10*17;47;45;41;14;44;32;43*6;25;3;26;20;39;33*46;30;29;16;31;1","7",""
30,1878.8397,1842.8267,2242.9666,";;12;4;42;13;9;37*19;35;40;38;36;34*7;18;31;11;8;24*21;2;28;5;23;22;27*16;17;47;45;41;14;43;32*44;6;25;3;26;20;39;33*46;30;29;10;15;1","7",""
31,1872.4242,1838.5743,2200.2783,";;12;4;42;13;9;37*19;35;40;38;36;34*7;18;15;11;8;24*21;2;28;1;23;22;27;10*17;47;45;41;14;16;32;44*6;25;3;26;20;39;33*46;30;29;43;31;5","7",""
32,1873.6871,1833.578,2249.4722,";;12;4;42;13;9;37*19;35;40;38;36;34*7;18;15;11;8;24*21;2;28;1;23;22;41;16*17;47;45;10;14;44;32;43*6;25;3;26;20;39;33*46;30;29;27;31;5","7",""
33,1851.1505,1833.578,2080.3052,";;12;4;42;13;9;37*19;35;40;38;36;34*7;18;15;11;8;24*21;2;28;1;23;22;41;16*17;47;45;10;14;44;32;43*6;25;3;26;20;39;33*46;30;29;27;31;5","7",""
34,1851.7992,1784.26,2144.645,";;8;4;42;13;9;37*19;35;40;38;36;34*7;18;15;11;12*24;21;45;28;5;23;22;27*16;17;47;2;41;14*44;32;43;6;25;3;26;20*39;33;46;30;29;10;31;1","7",""
35,1857.4574,1781.1403,2118.3674,";;12;4;42;13;9;37*19;35;40;38;36;34*7;18;15;11;8;24*21;45;28;1;23;22;41;16;17*47;2;10;14;44;32;43;6*25;3;26;20;39;33;46;30;29*27;31;5","7",""
36,1841.6321,1774.8278,2159.0903,";;12;4;42;13;9;38*19;35;40;37;36;34*7;18;15;11;8;24*21;45;28;1;23;22;41;16;17*47;2;10;14;44;32;43;6*25;3;26;20;39;33;46;30;29*27;31;5","7",""
37,1835.3922,1754.1637,2171.178,";;12;4;42;13;9;37*19;35;40;38;36;34*7;18;15;11;8;24*21;45;28;5;23;22;27;16*17;47;2;41;14;44*31;43;6;25;3;26;20;39*33;46;30;29;10;32;1","7",""
38,1812.2975,1747.3348,2179.2163,";;12;4;42;13;9;38*19;35;40;37;36;34*7;18;15;11;8;24*21;45;28;1;23;22;41;16;17*47;2;10;14;44;31;43*6;25;3;26;20;39;33*46;30;29;27;32;5","7",""
39,1795.3213,1747.3348,2139.8447,";;12;4;42;13;9;38*19;35;40;37;36;34*7;18;15;11;8;24*21;45;28;1;23;22;41;16;17*47;2;10;14;44;31;43*6;25;3;26;20;39;33*46;30;29;27;32;5","7",""
40,1770.0798,1747.3348,2241.9304,";;12;4;42;13;9;38*19;35;40;37;36;34*7;18;15;11;8;24*21;45;28;1;23;22;41;16;17*47;2;10;14;44;31;43*6;25;3;26;20;39;33*46;30;29;27;32;5","7",""
41,1772.9917,1736.0068,2230.661,";;12;4;42;13;9;38*19;35;40;37;36;34*7;18;15;11;8;24*21;45;14;1;23;22;41;16;17*47;2;10;28;44;31;43*6;25;3;26;20;39;33*46;30;29;27;32;5","7",""
42,1770.0509,1736.0068,2222.2102,";;12;4;42;13;9;38*19;35;40;37;36;34*7;18;15;11;8;24*21;33;14;1;23;22;41;16;17*47;2;10;28;44;31;43*6;25;3;26;20;39;45*46;30;29;27;32;5","7",""
43,1783.739,1736.0068,2210.681,";;12;4;42;13;9;38*19;35;40;37;36;34*7;18;15;11;5;24*21;45;14;1;23;22;41;16;17*47;2;10;28;44;31;43*6;25;3;26;20;39;33*46;30;29;27;32;8","7",""
44,1781.397,1736.0068,2161.6772,";;12;4;42;13;9;38*19;35;40;37;36;34*7;18;15;11;8;24*21;45;14;1;23;22;41;16;17*47;2;10;28;44;31;43*6;25;3;26;20;39;33*46;30;29;27;32;5","7",""
45,1757.4292,1727.6198,2207.0813,";;12;4;42;13;9;38*19;35;40;37;36*7;34;18;15;11;8*24;21;45;14;1;23;22;41;16*17;47;2;10;28;44*31;43;6;25;3;26;20;39*33;46;30;29;27;32;5","7",""
46,1773.9688,1727.6198,2440.838,";;12;4;42;13;9;38*19;35;40;37;36*7;34;18;15;11;8*24;21;45;14;1;23;22;41;16*17;47;2;10;28;44*31;43;6;25;3;26;20;39*33;46;30;29;27;32;5","7",""
47,1748.1663,1727.6198,2038.6929,";;12;4;42;13;9;38*19;35;40;37;36*7;34;18;15;11;8*24;21;45;14;1;23;22;41;16*17;47;2;10;28;44*31;43;6;25;3;26;20;39*33;46;30;29;27;32;5","7",""
48,1748.5895,1719.8201,2089.9001,";;12;4;42;13;9;38*19;35;40;37;36*7;34;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;28;44*31;43;6;25;3;26;20;39*33;46;30;29;27;32;5","7",""
49,1731.1033,1719.8201,1899.5045,";;12;4;42;13;28;38*19;35;40;37;36*7;34;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;9*44;31;43;6;25;3;26*20;39;33;46;30;29;27;32;5","7",""
50,1756.1619,1719.8201,2121.5254,";;12;4;42;13;9;38*19;35;40;37;36*7;34;18;15;11;8*24;21;28;22;1;23;14;41;16*17;47;2;10;45;44*31;43;6;25;3;26;20;39*33;46;30;29;27;32;5","7",""
51,1753.3947,1701.6787,2123.7786,";;35;4;42;13;9;38*19;12;40;37;36*7;23;18;15;11;8;24*21;45;22;1;34;14;41;16*17;47;2;10;28;44*31;43;6;25;3;26;20;39*33;46;30;29;27;32;5","7",""
52,1737.0197,1701.6787,2078.6365,";;35;4;42;13;9;38*19;12;40;37;36*7;34;18;15;11;8*24;21;20;22;1;23;14;41;16*17;47;2;10;28;44*31;43;6;25;3;26;45;39;33*46;30;29;27;32;5","7",""
53,1731.1648,1701.6787,2002.457,";;35;4;42;13;9;38*19;12;40;37;36*7;34;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;28;44*31;43;6;25;3;26;20;39*33;46;30;29;27;32;5","7",""
54,1732.1937,1701.6787,1979.7876,";;35;4;42;13;9;38*19;12;40;37;36*7;34;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;28;44*31;43;6;25;3;26;20;39*33;46;30;29;27;32;5","7",""
55,1721.9834,1701.6787,2051.9927,";;35;4;42;13;9;38*19;12;40;37;36*7;34;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;28;44*31;43;6;25;3;26;20;39*33;46;30;29;27;32;5","7",""
56,1719.289,1701.6787,1960.2507,";;35;4;42;13;9;38*19;12;40;37;36*7;34;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;28;44*31;43;6;25;3;26;20;39*33;46;30;29;27;32;5","7",""
57,1718.5691,1671.3322,2149.4585,";;35;4;42;13;9;38*19;12;40;37;36*7;44;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;28*34;31;43;6;25;3;26*20;39;33;46;30;29;27;32;5","7",""
58,1742.0626,1671.3322,2097.6113,";;35;4;42;13;9;38*19;12;40;37;36*7;44;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;28*34;31;43;6;25;3;26*20;39;33;46;30;29;27;32;5","7",""
59,1723.8037,1671.3322,2068.5044,";;35;4;42;13;9;38*19;12;40;37;36*7;44;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;28*34;31;43;6;25;3;26*20;39;33;46;30;29;27;32;5","7",""
60,1703.3997,1671.3322,1967.5038,";;35;4;42;13;9;38*19;12;40;37;36*7;44;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;28*34;31;43;6;25;3;26*20;39;33;46;30;29;27;32;5","7",""
61,1705.9437,1664.8403,2227.1833,";;35;4;42;13;9;38*19;12;40;36;37*7;44;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;28*34;31;43;6;25;3;26*20;39;33;46;30;29;27;32;5","7",""
62,1703.3784,1662.4772,2067.5457,";;35;4;42;13;27;38*19;12;40;37;36*7;44;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;28*34;31;5;6;25;3*26;20;39;33;46;30;29;9;32;43","7",""
63,1684.8505,1662.4772,1953.7858,";;35;4;42;13;27;38*19;12;40;37;36*7;44;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;28*34;31;5;6;25;3*26;20;39;33;46;30;29;9;32;43","7",""
64,1676.805,1658.1622,1872.4723,";;35;4;42;13;27;38*19;12;40;36;37*7;44;18;15;11;8*24;21;45;22;1;23;14;41;16*17;47;2;10;28*34;31;43;6;25;3;26*20;39;33;46;30;29;9;32;5","7",""
65,1698.9014,1643.6562,2111.2056,";;35;4;42;13;9;38*19;12;40;36;37*7;44;18;15;8;11*24;21;45;22;1;23;14;41;16*17;47;2;10;28*34;31;43;6;25;3;26*20;39;33;46;30;29;27;32;5","7",""
66,1672.5311,1636.9781,1991.2323,";;35;4;7;13;27;38*19;12;40;36;37*42;44;18;15;8;11;24*21;45;22;1;23;14;41;16;17*47;2;10;28;34;43;31*6;25;3;26;20;39;33*46;30;29;9;32;5","7",""
67,1679.7297,1634.8013,1943.0669,";;35;4;42;13;27;38*19;12;40;36;37*7;45;18;15;8;11;24*21;44;22;1;23;14;41;16;17*47;2;10;28;34;31*5;6;25;3;26;20;39;33*46;30;29;9;32;43","7",""
68,1670.093,1634.8013,2016.4594,";;35;4;42;13;27;38*19;12;40;36;37*7;44;18;15;8;11*24;21;45;22;1;23;14;41;16*17;47;2;10;28*34;31;5;6;25;3*26;20;39;33;46;30;29;9;32;43","7",""
