"Generation","Average","Max","Min","BestGen","amountOfTours","repeatedGens","BestValue: 1763.76"
0,2920.1943,2527.5718,3280.8892,";;17;5;43;11;33;3*2;21;4;42;20;9*13;41;29;14;7;46;10*39;19;12;15;35;34;40;23*27;26;8;1;31;6;37;25*16;45;36;30;44;28;18;32;24*47;38;22","7",""
1,2784.893,2288.8855,3278.2466,";;17;5;43;11;33;3*2;21;4;42;20;9*13;41;29;30;28;46;15;12*6;27;16;47;40;24*7;1;38;39;8;25;22;26;10*45;34;19;31;23;14;18;32*36;35;37;44","7",""
2,2648.321,2288.8855,3114.872,";;17;5;43;11;33;3*2;21;4;42;20;9*13;41;29;30;28;46;15;12*6;27;16;47;40;24*7;1;38;39;8;25;22;26;10*45;34;19;31;23;14;18;32*36;35;37;44","7",""
3,2541.435,2288.8855,3025.7332,";;17;5;43;11;33;3*2;21;4;42;20;9*13;41;29;30;28;46;15;12*6;27;16;47;40;24*7;1;38;39;8;25;22;26;10*45;34;19;31;23;14;18;32*36;35;37;44","7",""
4,2420.5137,2234.1255,3075.2297,";;17;5;43;11;33;3*2;21;4;42;20;9*13;41;29;30;28;46;15;12*6;27;16;47;40;24*7;1;38;39;8;25;22;26;10*45;34;19;31;23;14;18;32*37;36;35;44","7",""
5,2345.7346,2217.1284,2794.275,";;17;5;43;11;33;3*2;21;4;42;20;9*13;28;29;30;41;46;15;12*6;27;16;47;40;24*7;1;38;39;8;25;22;26;10*45;34;19;31;23;14;18;32*36;35;37;44","7",""
6,2281.5337,2217.1284,2575.3591,";;17;5;43;11;33;3*2;21;4;42;20;9*13;28;29;30;41;46;15;12*6;27;16;47;40;24*7;1;38;39;8;25;22;26;10*45;34;19;31;23;14;18;32*36;35;37;44","7",""
7,2250.1995,2162.3684,2488.0322,";;17;5;43;11;33;3*2;21;4;42;20;9*13;28;29;30;41;46;15;12*6;27;16;47;40;24*7;1;38;39;8;25;22;26;10*45;34;19;31;23;14;18;32*37;36;35;44","7",""
8,2232.7363,2127.485,2596.1177,";;17;5;43;11;33;3*2;21;4;42;20;24*13;28;29;30;41;46;15;12*6;27;16;47;40*9;7;1;38;39;8;25;22*26;10;45;34;19;31;23;14*18;32;37;36;35;44","7",""
9,2196.9119,2127.485,2461.2102,";;17;5;43;11;33;3*2;21;4;42;20;24*13;28;29;30;41;46;15;12*6;27;16;47;40*9;7;1;38;39;8;25;22*26;10;45;34;19;31;23;14*18;32;37;36;35;44","7",""
10,2168.244,2095.7551,2486.1123,";;17;5;43;11;33;3*2;21;4;42;20;24*13;28;29;30;41;46;15;39*19;27;16;47;40*7;6;1;38;10;8;25;22*26;12;45;34;9;31;23;14*18;32;37;36;35;44","7",""
